# Time-averaged data for fix pressrun
# TimeStep v_P
202000 354.283
203000 354.584
204000 354.722
205000 357.241
206000 357.93
207000 358.461
208000 359.657
209000 359.809
210000 359.607
211000 360.353
212000 361.046
213000 360.957
214000 360.508
215000 360.814
216000 360.924
217000 361.118
218000 361.313
219000 361.732
220000 361.41
221000 361.538
222000 361.396
223000 361.514
224000 361.313
225000 361.385
226000 361.28
227000 361.309
228000 360.974
229000 360.836
230000 360.866
231000 360.878
232000 361.011
233000 360.95
234000 360.979
235000 360.95
236000 360.869
237000 360.793
238000 360.788
239000 360.86
240000 360.745
241000 360.903
242000 361.057
243000 361.068
244000 360.988
245000 361.002
246000 361.016
247000 360.944
248000 361.027
249000 360.933
250000 361.037
251000 361.024
252000 361.023
253000 361.027
254000 361.09
255000 361.114
256000 361.094
257000 361.083
258000 361.065
259000 361.017
260000 361.078
261000 361.132
262000 361.196
263000 361.377
264000 361.412
265000 361.436
266000 361.478
267000 361.659
268000 361.679
269000 361.661
270000 361.683
271000 361.746
272000 361.69
273000 361.77
274000 361.829
275000 361.846
276000 361.843
277000 361.836
278000 361.848
279000 361.912
280000 361.876
281000 361.978
282000 361.994
283000 362.048
284000 362.014
285000 361.967
286000 361.987
287000 362.045
288000 361.985
289000 362.002
290000 362.036
291000 361.998
292000 361.983
293000 362.031
294000 362.05
295000 362.002
296000 361.99
297000 362.098
298000 362.13
299000 362.181
300000 362.17
301000 362.264
302000 362.368
303000 362.296
304000 362.314
305000 362.335
306000 362.392
307000 362.387
308000 362.399
309000 362.404
310000 362.424
311000 362.429
312000 362.442
313000 362.451
314000 362.429
315000 362.413
316000 362.365
317000 362.39
318000 362.345
319000 362.402
320000 362.384
321000 362.4
322000 362.364
323000 362.371
324000 362.366
325000 362.342
326000 362.324
327000 362.315
328000 362.346
329000 362.364
330000 362.39
331000 362.345
332000 362.311
333000 362.322
334000 362.32
335000 362.41
336000 362.385
337000 362.38
338000 362.341
339000 362.37
340000 362.406
341000 362.358
342000 362.333
343000 362.33
344000 362.366
345000 362.343
346000 362.357
347000 362.343
348000 362.354
349000 362.337
350000 362.331
351000 362.27
352000 362.231
353000 362.163
354000 362.15
355000 362.144
356000 362.173
357000 362.178
358000 362.149
359000 362.143
360000 362.19
361000 362.222
362000 362.231
363000 362.225
364000 362.17
365000 362.196
366000 362.187
367000 362.191
368000 362.182
369000 362.174
370000 362.197
371000 362.21
372000 362.214
373000 362.206
374000 362.245
375000 362.236
376000 362.248
377000 362.259
378000 362.274
379000 362.235
380000 362.217
381000 362.203
382000 362.198
383000 362.223
384000 362.231
385000 362.227
386000 362.193
387000 362.174
388000 362.195
389000 362.214
390000 362.226
391000 362.214
392000 362.216
393000 362.238
394000 362.258
395000 362.268
396000 362.254
397000 362.245
398000 362.249
399000 362.227
400000 362.237
401000 362.257
402000 362.235
403000 362.221
404000 362.2
405000 362.201
406000 362.165
407000 362.19
408000 362.198
409000 362.173
410000 362.135
411000 362.164
412000 362.165
413000 362.189
414000 362.197
415000 362.186
416000 362.169
417000 362.184
418000 362.188
419000 362.201
420000 362.199
421000 362.209
422000 362.235
423000 362.248
424000 362.247
425000 362.268
426000 362.253
427000 362.261
428000 362.286
429000 362.259
430000 362.276
431000 362.281
432000 362.266
433000 362.216
434000 362.247
435000 362.223
436000 362.254
437000 362.253
438000 362.242
439000 362.208
440000 362.179
441000 362.161
442000 362.148
443000 362.156
444000 362.153
445000 362.163
446000 362.159
447000 362.128
448000 362.107
449000 362.072
450000 362.075
451000 362.042
452000 362.005
453000 362.014
454000 361.995
455000 362.005
456000 362.014
457000 361.978
458000 361.998
459000 361.972
460000 362.007
461000 362.009
462000 362.006
463000 361.996
464000 362.008
465000 361.989
466000 361.969
467000 361.976
468000 361.994
469000 361.994
470000 362.005
471000 361.992
472000 361.987
473000 361.983
474000 361.997
475000 362.028
476000 362.032
477000 362.035
478000 362.052
479000 362.061
480000 362.03
481000 362.035
482000 362.031
483000 362.064
484000 362.074
485000 362.07
486000 362.071
487000 362.076
488000 362.078
489000 362.049
490000 362.046
491000 362.054
492000 362.05
493000 362.068
494000 362.05
495000 362.046
496000 362.047
497000 362.049
498000 362.046
499000 362.033
500000 362.02
501000 362.039
502000 362.029
503000 362.066
504000 362.083
505000 362.067
506000 362.056
507000 362.075
508000 362.074
509000 362.086
510000 362.077
511000 362.073
512000 362.095
513000 362.089
514000 362.093
515000 362.081
516000 362.116
517000 362.108
518000 362.094
519000 362.118
520000 362.125
521000 362.116
522000 362.109
523000 362.111
524000 362.104
525000 362.109
526000 362.113
527000 362.092
528000 362.101
529000 362.097
530000 362.118
531000 362.116
532000 362.12
533000 362.119
534000 362.118
535000 362.113
536000 362.127
537000 362.114
538000 362.122
539000 362.136
540000 362.112
541000 362.093
542000 362.109
543000 362.117
544000 362.103
545000 362.111
546000 362.116
547000 362.115
548000 362.103
549000 362.113
550000 362.113
551000 362.115
552000 362.111
553000 362.114
554000 362.116
555000 362.113
556000 362.138
557000 362.136
558000 362.116
559000 362.117
560000 362.152
561000 362.16
562000 362.168
563000 362.165
564000 362.15
565000 362.153
566000 362.153
567000 362.179
568000 362.184
569000 362.176
570000 362.163
571000 362.182
572000 362.195
573000 362.204
574000 362.201
575000 362.208
576000 362.198
577000 362.189
578000 362.18
579000 362.176
580000 362.176
581000 362.171
582000 362.178
583000 362.171
584000 362.16
585000 362.164
586000 362.158
587000 362.155
588000 362.145
589000 362.139
590000 362.138
591000 362.138
592000 362.124
593000 362.125
594000 362.122
595000 362.118
596000 362.101
597000 362.105
598000 362.112
599000 362.116
600000 362.142
601000 362.158
602000 362.16
603000 362.157
604000 362.146
605000 362.165
606000 362.178
607000 362.151
608000 362.149
609000 362.131
610000 362.146
611000 362.136
612000 362.146
613000 362.149
614000 362.151
615000 362.143
616000 362.138
617000 362.155
618000 362.157
619000 362.166
620000 362.186
621000 362.186
622000 362.192
623000 362.203
624000 362.192
625000 362.191
626000 362.192
627000 362.194
628000 362.201
629000 362.212
630000 362.193
631000 362.198
632000 362.214
633000 362.205
634000 362.201
635000 362.202
636000 362.206
637000 362.196
638000 362.186
639000 362.19
640000 362.189
641000 362.194
642000 362.21
643000 362.217
644000 362.221
645000 362.222
646000 362.206
647000 362.213
648000 362.204
649000 362.208
650000 362.217
651000 362.207
652000 362.209
653000 362.214
654000 362.212
655000 362.214
656000 362.219
657000 362.195
658000 362.183
659000 362.182
660000 362.184
661000 362.194
662000 362.172
663000 362.179
664000 362.189
665000 362.193
666000 362.182
667000 362.183
668000 362.192
669000 362.179
670000 362.175
671000 362.181
672000 362.18
673000 362.174
674000 362.188
675000 362.192
676000 362.208
677000 362.203
678000 362.217
679000 362.222
680000 362.228
681000 362.235
682000 362.244
683000 362.233
684000 362.24
685000 362.241
686000 362.236
687000 362.226
688000 362.222
689000 362.22
690000 362.201
691000 362.19
692000 362.185
693000 362.183
694000 362.187
695000 362.185
696000 362.189
697000 362.198
698000 362.216
699000 362.224
700000 362.209
701000 362.21
702000 362.229
703000 362.238
704000 362.227
705000 362.225
706000 362.216
707000 362.224
708000 362.23
709000 362.216
710000 362.199
711000 362.218
712000 362.215
713000 362.219
714000 362.207
715000 362.194
716000 362.198
717000 362.201
718000 362.205
719000 362.208
720000 362.202
721000 362.197
722000 362.196
723000 362.203
724000 362.205
725000 362.207
726000 362.219
727000 362.216
728000 362.224
729000 362.228
730000 362.23
731000 362.225
732000 362.24
733000 362.235
734000 362.221
735000 362.215
736000 362.216
737000 362.213
738000 362.226
739000 362.225
740000 362.221
741000 362.234
742000 362.22
743000 362.227
744000 362.228
745000 362.235
746000 362.23
747000 362.237
748000 362.234
749000 362.23
750000 362.235
751000 362.242
752000 362.238
753000 362.238
754000 362.237
755000 362.241
756000 362.236
757000 362.242
758000 362.232
759000 362.22
760000 362.22
761000 362.217
762000 362.222
763000 362.206
764000 362.209
765000 362.216
766000 362.22
767000 362.219
768000 362.219
769000 362.228
770000 362.227
771000 362.236
772000 362.23
773000 362.22
774000 362.221
775000 362.231
776000 362.226
777000 362.226
778000 362.234
779000 362.238
780000 362.228
781000 362.238
782000 362.239
783000 362.236
784000 362.228
785000 362.21
786000 362.207
787000 362.19
788000 362.195
789000 362.191
790000 362.19
791000 362.187
792000 362.182
793000 362.193
794000 362.189
795000 362.192
796000 362.196
797000 362.192
798000 362.182
799000 362.174
800000 362.176
801000 362.173
802000 362.166
803000 362.167
804000 362.162
805000 362.154
806000 362.159
807000 362.166
808000 362.158
809000 362.15
810000 362.154
811000 362.155
812000 362.156
813000 362.158
814000 362.169
815000 362.169
816000 362.163
817000 362.175
818000 362.185
819000 362.195
820000 362.203
821000 362.21
822000 362.23
823000 362.226
824000 362.224
825000 362.217
826000 362.197
827000 362.207
828000 362.199
829000 362.202
830000 362.218
831000 362.21
832000 362.211
833000 362.215
834000 362.22
835000 362.218
836000 362.204
837000 362.204
838000 362.201
839000 362.198
840000 362.2
841000 362.19
842000 362.186
843000 362.189
844000 362.19
845000 362.202
846000 362.203
847000 362.201
848000 362.204
849000 362.208
850000 362.206
851000 362.189
852000 362.192
853000 362.202
854000 362.209
855000 362.208
856000 362.211
857000 362.216
858000 362.217
859000 362.214
860000 362.207
861000 362.214
862000 362.206
863000 362.207
864000 362.211
865000 362.21
866000 362.22
867000 362.221
868000 362.228
869000 362.229
870000 362.233
871000 362.216
872000 362.211
873000 362.217
874000 362.213
875000 362.207
876000 362.204
877000 362.203
878000 362.201
879000 362.207
880000 362.199
881000 362.182
882000 362.2
883000 362.192
884000 362.189
885000 362.186
886000 362.183
887000 362.179
888000 362.176
889000 362.171
890000 362.168
891000 362.167
892000 362.173
893000 362.176
894000 362.172
895000 362.165
896000 362.162
897000 362.165
898000 362.166
899000 362.162
900000 362.154
901000 362.159
902000 362.16
903000 362.152
904000 362.154
905000 362.153
906000 362.163
907000 362.155
908000 362.155
909000 362.147
910000 362.153
911000 362.155
912000 362.155
913000 362.161
914000 362.155
915000 362.155
916000 362.153
917000 362.146
918000 362.153
919000 362.156
920000 362.158
921000 362.162
922000 362.156
923000 362.16
