# Time-averaged data for fix pressrun
# TimeStep v_P
202000 800.508
203000 810.32
204000 808.069
205000 804.851
206000 805.817
207000 807.255
208000 808.637
209000 808.868
210000 808.861
211000 809.051
212000 809.118
213000 808.397
214000 809.383
215000 808.107
216000 807.814
217000 807.412
218000 806.316
219000 806.998
220000 806.978
221000 807.998
222000 807.879
223000 807.605
224000 807.616
225000 807.816
226000 807.592
227000 807.367
228000 807.395
229000 807.6
230000 808.307
231000 808.399
232000 808.442
233000 808.434
234000 808.856
235000 808.758
236000 808.744
237000 808.624
238000 808.258
239000 808.386
240000 808.643
241000 808.418
242000 808.421
243000 808.336
244000 808.074
245000 808.089
246000 808.173
247000 808.329
248000 808.278
249000 808.397
250000 808.235
251000 808.186
252000 808.47
253000 808.588
254000 808.396
255000 807.982
256000 807.745
257000 807.678
258000 807.763
259000 807.681
260000 807.48
261000 807.445
262000 807.335
263000 807.07
264000 806.793
265000 806.454
266000 806.442
267000 806.495
268000 806.381
269000 806.283
270000 806.228
271000 806.31
272000 806.348
273000 806.512
274000 806.504
275000 806.542
276000 806.515
277000 806.649
278000 806.829
279000 806.706
280000 806.418
281000 806.478
282000 806.583
283000 806.698
284000 806.669
285000 806.737
286000 806.625
287000 806.593
288000 806.459
289000 806.282
290000 806.308
291000 806.305
292000 806.181
293000 806.216
294000 806.306
295000 806.267
296000 806.309
297000 806.306
298000 806.217
299000 806.246
300000 806.312
301000 806.174
302000 806.253
303000 806.258
304000 806.364
305000 806.429
306000 806.452
307000 806.491
308000 806.559
309000 806.653
310000 806.714
311000 806.71
312000 806.6
313000 806.565
314000 806.632
315000 806.579
316000 806.527
317000 806.576
318000 806.516
319000 806.44
320000 806.492
321000 806.457
322000 806.384
323000 806.449
324000 806.545
325000 806.505
326000 806.572
327000 806.559
328000 806.655
329000 806.533
330000 806.545
331000 806.573
332000 806.469
333000 806.476
334000 806.486
335000 806.558
336000 806.511
337000 806.578
338000 806.537
339000 806.582
340000 806.517
341000 806.45
342000 806.492
343000 806.443
344000 806.417
345000 806.388
346000 806.312
347000 806.318
348000 806.375
349000 806.535
350000 806.538
351000 806.572
352000 806.582
353000 806.661
354000 806.636
355000 806.669
356000 806.674
357000 806.616
358000 806.602
359000 806.618
360000 806.67
361000 806.663
362000 806.725
363000 806.758
364000 806.824
365000 806.759
366000 806.711
367000 806.753
368000 806.794
369000 806.746
370000 806.677
371000 806.709
372000 806.799
373000 806.781
374000 806.734
375000 806.695
376000 806.726
377000 806.759
378000 806.727
379000 806.65
380000 806.679
381000 806.719
382000 806.739
