# Time-averaged data for fix pressrun
# TimeStep v_P
202000 1435.19
203000 1425.83
204000 1422.96
205000 1422.39
206000 1424.92
207000 1424.85
208000 1422.69
209000 1421.62
210000 1421.35
211000 1422.7
212000 1423.51
213000 1422.09
214000 1421.44
215000 1421.77
216000 1420.51
217000 1420.87
218000 1421.36
219000 1420.35
220000 1420.16
221000 1419.63
222000 1419.66
223000 1419.94
224000 1419.26
225000 1420.43
226000 1420.44
227000 1420.15
228000 1420.36
229000 1420.11
230000 1421.46
231000 1421.46
232000 1421.31
233000 1421.11
234000 1421.55
235000 1422.16
236000 1422.8
237000 1423.22
238000 1423.29
239000 1423.48
240000 1423.8
241000 1423.92
242000 1423.63
243000 1423.61
244000 1423.55
245000 1423.35
246000 1423.47
247000 1424.01
248000 1423.81
249000 1423.98
250000 1423.69
251000 1423.9
252000 1423.94
253000 1424.02
254000 1423.78
255000 1423.65
256000 1423.78
257000 1423.84
258000 1423.81
259000 1423.63
260000 1423.64
261000 1423.67
262000 1424.02
263000 1423.76
264000 1423.71
265000 1423.58
266000 1423.8
267000 1423.52
268000 1423.65
269000 1423.38
270000 1422.81
271000 1422.57
272000 1422.52
273000 1422.46
274000 1422.67
275000 1422.51
276000 1422.44
277000 1422.27
278000 1422.19
279000 1421.87
280000 1421.71
281000 1421.74
282000 1421.98
283000 1422.14
284000 1422.09
285000 1422.07
286000 1422.12
287000 1422.18
288000 1422.07
289000 1422.34
290000 1422.41
291000 1422.3
292000 1422.42
293000 1422.41
294000 1422.38
295000 1422.33
296000 1422.53
297000 1422.58
298000 1422.7
299000 1422.5
300000 1422.55
301000 1422.47
302000 1422.61
303000 1422.59
304000 1422.6
305000 1422.82
306000 1422.78
307000 1422.56
308000 1422.84
309000 1422.57
310000 1422.37
311000 1422.45
312000 1422.49
313000 1422.59
314000 1422.69
315000 1422.68
316000 1422.92
317000 1423.03
318000 1422.84
319000 1422.71
320000 1422.64
321000 1422.63
322000 1422.64
323000 1422.68
324000 1422.77
325000 1422.88
326000 1422.87
327000 1422.87
328000 1422.6
329000 1422.64
330000 1422.74
331000 1422.98
332000 1423.31
333000 1423.39
334000 1423.32
335000 1423.23
336000 1423.2
337000 1423.06
338000 1423.06
339000 1423.17
340000 1423.09
341000 1423.13
342000 1423.08
343000 1422.98
344000 1422.9
345000 1422.88
346000 1422.91
347000 1422.96
348000 1422.89
349000 1422.83
350000 1422.87
351000 1422.98
352000 1422.88
353000 1422.83
354000 1422.71
355000 1422.58
356000 1422.62
357000 1422.63
358000 1422.57
359000 1422.63
360000 1422.73
361000 1422.64
362000 1422.62
363000 1422.48
364000 1422.51
365000 1422.62
366000 1422.49
367000 1422.55
368000 1422.62
369000 1422.51
370000 1422.55
371000 1422.5
372000 1422.52
373000 1422.8
374000 1422.82
375000 1422.88
376000 1422.89
377000 1422.75
378000 1422.61
379000 1422.69
380000 1422.76
381000 1422.63
382000 1422.55
383000 1422.54
384000 1422.42
385000 1422.51
386000 1422.52
387000 1422.59
388000 1422.64
389000 1422.63
390000 1422.63
391000 1422.65
392000 1422.7
393000 1422.67
394000 1422.63
395000 1422.5
396000 1422.6
397000 1422.7
398000 1422.71
399000 1422.71
400000 1422.67
401000 1422.56
402000 1422.59
403000 1422.7
404000 1422.75
405000 1422.75
406000 1422.81
407000 1422.85
408000 1422.9
409000 1422.84
410000 1422.81
411000 1422.86
412000 1422.81
413000 1422.76
414000 1422.69
415000 1422.64
416000 1422.63
417000 1422.67
418000 1422.7
