# Time-averaged data for fix pressrun
# TimeStep v_P
202000 56.0398
203000 54.7449
204000 56.0026
205000 55.9202
206000 55.6772
207000 57.1803
208000 57.8095
209000 57.95
210000 58.0623
211000 58.0976
212000 58.5444
213000 58.8473
214000 58.6685
215000 58.9709
216000 58.8581
217000 58.6734
218000 58.411
219000 58.8275
220000 58.6855
221000 58.5976
222000 58.183
223000 58.1189
224000 58.0356
225000 57.9177
226000 57.8089
227000 57.8709
228000 57.8936
229000 57.8561
230000 57.9256
231000 57.8087
232000 58.0375
233000 58.0912
234000 57.9991
235000 57.6777
236000 57.7362
237000 57.7631
238000 57.6531
239000 57.5458
240000 57.5878
241000 57.6038
242000 57.5433
243000 57.6542
244000 57.6395
245000 57.6153
246000 57.5144
247000 57.3375
248000 57.2979
249000 57.3493
250000 57.3423
251000 57.425
252000 57.4839
253000 57.445
254000 57.5101
255000 57.5096
256000 57.5367
257000 57.4811
258000 57.3709
259000 57.4643
260000 57.3891
261000 57.4417
262000 57.357
263000 57.4578
264000 57.534
265000 57.6307
266000 57.6211
267000 57.693
268000 57.6841
269000 57.6601
270000 57.6963
271000 57.6847
272000 57.6083
273000 57.5665
274000 57.5933
275000 57.5716
276000 57.6585
277000 57.5524
278000 57.5882
279000 57.4986
280000 57.5207
281000 57.4752
282000 57.5165
283000 57.4906
284000 57.429
285000 57.4591
286000 57.4533
287000 57.427
288000 57.4607
289000 57.3762
290000 57.4084
291000 57.3768
292000 57.2694
293000 57.2721
294000 57.3572
295000 57.3189
296000 57.3174
297000 57.4054
298000 57.4123
299000 57.4045
300000 57.4053
301000 57.4424
302000 57.4213
303000 57.4691
304000 57.4637
305000 57.4192
306000 57.3217
307000 57.3324
308000 57.3499
309000 57.3542
310000 57.3261
311000 57.3286
312000 57.3092
313000 57.3614
314000 57.3296
315000 57.3953
316000 57.3973
317000 57.3371
318000 57.3825
319000 57.4128
320000 57.3899
321000 57.3766
322000 57.3655
323000 57.3707
324000 57.3863
325000 57.4108
326000 57.3524
327000 57.3314
328000 57.3354
329000 57.3319
330000 57.3623
331000 57.3387
332000 57.3278
333000 57.3033
334000 57.296
335000 57.3596
336000 57.391
337000 57.3275
338000 57.3245
339000 57.3414
340000 57.322
341000 57.3655
342000 57.3969
343000 57.3315
344000 57.3157
345000 57.3717
346000 57.38
347000 57.385
348000 57.3588
349000 57.3743
350000 57.361
351000 57.3736
352000 57.3511
353000 57.3803
354000 57.3942
355000 57.427
356000 57.3914
357000 57.4379
358000 57.4876
359000 57.4976
360000 57.4559
361000 57.4401
362000 57.3884
363000 57.3721
364000 57.3533
365000 57.3873
366000 57.3491
367000 57.3123
368000 57.3374
369000 57.3676
370000 57.3569
