# Time-averaged data for fix energyrun
# TimeStep v_U
202000 -25.4012
203000 -25.3421
204000 -25.2907
205000 -25.0982
206000 -24.8917
207000 -24.7953
208000 -24.732
209000 -24.6246
210000 -24.6159
211000 -24.6594
212000 -24.6409
213000 -24.6185
214000 -24.6057
215000 -24.5958
216000 -24.6457
217000 -24.7021
218000 -24.7326
219000 -24.742
220000 -24.7422
221000 -24.7829
222000 -24.838
223000 -24.8555
224000 -24.858
225000 -24.8628
226000 -24.8547
227000 -24.8705
228000 -24.9198
229000 -24.9461
230000 -24.9616
231000 -25.0034
232000 -25.0316
233000 -25.0571
234000 -25.0867
235000 -25.1124
236000 -25.1268
237000 -25.1285
238000 -25.1294
239000 -25.1165
240000 -25.1003
241000 -25.1053
242000 -25.1212
243000 -25.1149
244000 -25.1044
245000 -25.0967
246000 -25.0619
247000 -25.029
248000 -24.9776
249000 -24.9375
250000 -24.8963
251000 -24.8776
252000 -24.868
253000 -24.8703
254000 -24.874
255000 -24.8656
256000 -24.8601
257000 -24.8395
258000 -24.8364
259000 -24.8329
260000 -24.8432
261000 -24.8349
262000 -24.8278
263000 -24.8127
264000 -24.8053
265000 -24.8123
266000 -24.82
267000 -24.8244
268000 -24.8287
269000 -24.822
270000 -24.8195
271000 -24.8168
272000 -24.8182
273000 -24.8125
274000 -24.8021
275000 -24.7956
276000 -24.7945
277000 -24.7891
278000 -24.7809
279000 -24.7785
280000 -24.7689
281000 -24.7643
282000 -24.7599
283000 -24.7623
284000 -24.7676
285000 -24.7639
286000 -24.7592
287000 -24.7581
288000 -24.7557
289000 -24.7558
290000 -24.7563
291000 -24.7608
292000 -24.7586
293000 -24.7557
294000 -24.7502
295000 -24.7509
296000 -24.749
297000 -24.7543
298000 -24.7538
299000 -24.7526
300000 -24.7461
301000 -24.7374
302000 -24.7346
303000 -24.7246
304000 -24.7199
305000 -24.7175
306000 -24.7113
307000 -24.7121
308000 -24.7158
309000 -24.7158
310000 -24.7122
311000 -24.7089
312000 -24.7061
313000 -24.7048
314000 -24.707
315000 -24.7092
316000 -24.7117
317000 -24.7148
318000 -24.7109
319000 -24.7074
320000 -24.7046
321000 -24.7056
322000 -24.6991
323000 -24.6936
324000 -24.6904
325000 -24.6865
326000 -24.6831
327000 -24.6831
328000 -24.6788
329000 -24.6774
330000 -24.6672
331000 -24.6563
332000 -24.6522
333000 -24.6444
334000 -24.6356
335000 -24.6278
336000 -24.6214
337000 -24.6154
338000 -24.6142
339000 -24.6119
340000 -24.611
341000 -24.612
342000 -24.6175
343000 -24.6168
344000 -24.6185
345000 -24.6212
346000 -24.626
347000 -24.6307
348000 -24.6322
349000 -24.632
350000 -24.6307
351000 -24.6278
352000 -24.6279
353000 -24.6299
354000 -24.6301
355000 -24.6308
356000 -24.6319
357000 -24.6267
358000 -24.6208
359000 -24.617
360000 -24.6115
361000 -24.6054
362000 -24.6021
363000 -24.5967
364000 -24.5968
365000 -24.5937
366000 -24.5889
367000 -24.5852
368000 -24.5849
369000 -24.5853
370000 -24.5857
371000 -24.5869
372000 -24.5894
373000 -24.5902
374000 -24.5945
375000 -24.5981
376000 -24.601
377000 -24.6038
378000 -24.6054
379000 -24.6045
380000 -24.6008
381000 -24.5976
382000 -24.5945
383000 -24.5921
384000 -24.5943
385000 -24.5975
386000 -24.5997
387000 -24.5989
388000 -24.5962
389000 -24.5901
390000 -24.5897
391000 -24.5896
392000 -24.5913
393000 -24.5961
394000 -24.6028
395000 -24.6093
396000 -24.615
397000 -24.6216
398000 -24.6276
399000 -24.6281
400000 -24.6313
401000 -24.6325
402000 -24.6332
403000 -24.635
404000 -24.6352
