# Time-averaged data for fix pressrun
# TimeStep v_P
252000 1872.41
253000 1854.34
254000 1850.39
255000 1857.51
256000 1854.48
257000 1859.59
258000 1860.22
259000 1860.27
260000 1860.89
261000 1862.3
262000 1860.39
263000 1860.61
264000 1860.16
265000 1859.28
266000 1860.51
267000 1861.12
268000 1862.37
269000 1863.69
270000 1865.56
271000 1866.06
272000 1866.57
273000 1866.58
274000 1866.91
275000 1866.86
276000 1867.21
277000 1867
278000 1867.48
279000 1867.29
280000 1867.54
281000 1868
282000 1868.48
283000 1868.58
284000 1867.95
285000 1868.09
286000 1868.21
287000 1868.51
288000 1868.79
289000 1869.6
290000 1870.18
291000 1870.18
292000 1870.05
293000 1870.54
294000 1870.69
295000 1870.62
296000 1870.46
297000 1870.9
298000 1870.92
299000 1870.93
300000 1870.75
301000 1870.7
302000 1870.76
303000 1870.56
304000 1870.53
305000 1870.59
306000 1870.64
307000 1870.94
308000 1870.64
309000 1870.27
310000 1869.77
311000 1869.4
312000 1869.15
313000 1868.49
314000 1868.37
315000 1867.78
316000 1867.61
317000 1867.55
318000 1867.84
319000 1867.76
320000 1867.69
321000 1867.6
322000 1867.15
323000 1866.98
324000 1866.87
325000 1866.8
326000 1866.93
327000 1867.26
328000 1867.17
329000 1867.37
330000 1867.4
331000 1867.38
332000 1867.23
333000 1867.39
334000 1867.45
335000 1867.33
336000 1867.16
337000 1867.29
338000 1867.49
339000 1867.69
340000 1867.88
341000 1867.96
342000 1867.76
343000 1867.51
344000 1867.59
345000 1867.46
346000 1867.71
347000 1867.66
348000 1867.88
349000 1868.11
350000 1867.82
351000 1867.97
352000 1867.88
353000 1867.98
354000 1867.96
355000 1867.79
356000 1867.7
357000 1867.45
358000 1867.35
359000 1867.35
360000 1867.29
361000 1867.41
362000 1867.37
363000 1867.21
364000 1867.03
365000 1867.12
366000 1867.09
367000 1867.35
368000 1867.31
369000 1867.74
370000 1867.65
371000 1867.68
372000 1867.83
373000 1867.86
374000 1867.79
375000 1867.97
376000 1868.22
377000 1868.46
378000 1868.41
379000 1868.42
380000 1868.35
381000 1868.4
382000 1868.49
383000 1868.3
384000 1868.24
385000 1868.17
386000 1868.44
387000 1868.45
388000 1868.6
389000 1868.57
390000 1868.45
391000 1868.4
392000 1868.39
393000 1868.1
394000 1868.04
395000 1867.95
396000 1868.04
397000 1868.05
398000 1868.09
399000 1868.08
400000 1868.18
401000 1868.23
402000 1868.22
403000 1868.13
404000 1868.03
405000 1868.08
406000 1868.03
407000 1868.12
408000 1868.11
409000 1868.21
410000 1868.18
411000 1868.16
412000 1868.07
413000 1867.92
414000 1867.75
415000 1867.91
416000 1867.95
417000 1867.87
418000 1867.89
419000 1867.74
420000 1867.9
421000 1867.75
422000 1867.76
423000 1867.77
424000 1867.92
425000 1867.98
426000 1867.94
427000 1867.96
428000 1867.9
429000 1867.89
430000 1867.87
431000 1867.93
432000 1867.76
433000 1867.79
434000 1867.88
435000 1867.92
436000 1867.92
437000 1867.93
438000 1867.96
439000 1867.89
440000 1868.02
441000 1868
442000 1868.04
443000 1868
444000 1867.91
445000 1867.9
446000 1867.76
447000 1867.85
448000 1867.86
449000 1867.99
450000 1867.92
451000 1868.06
452000 1867.97
453000 1867.95
454000 1868
455000 1868.06
456000 1868.07
457000 1868.14
458000 1868.16
459000 1868.28
460000 1868.21
461000 1868.32
462000 1868.32
463000 1868.34
464000 1868.4
465000 1868.5
466000 1868.48
467000 1868.39
468000 1868.31
469000 1868.42
470000 1868.35
471000 1868.28
472000 1868.31
473000 1868.35
474000 1868.38
475000 1868.43
476000 1868.49
477000 1868.47
478000 1868.51
479000 1868.54
480000 1868.63
481000 1868.63
482000 1868.62
483000 1868.55
484000 1868.62
485000 1868.55
486000 1868.61
487000 1868.52
488000 1868.59
489000 1868.6
490000 1868.58
491000 1868.54
492000 1868.54
493000 1868.48
494000 1868.42
495000 1868.4
496000 1868.42
497000 1868.4
498000 1868.35
499000 1868.37
500000 1868.33
501000 1868.32
502000 1868.42
503000 1868.36
504000 1868.43
505000 1868.33
506000 1868.29
507000 1868.29
508000 1868.29
509000 1868.3
510000 1868.28
511000 1868.35
512000 1868.34
513000 1868.39
514000 1868.36
515000 1868.28
516000 1868.34
517000 1868.37
518000 1868.43
519000 1868.63
520000 1868.68
521000 1868.6
522000 1868.62
523000 1868.51
524000 1868.48
525000 1868.49
526000 1868.57
527000 1868.47
528000 1868.57
529000 1868.53
530000 1868.45
531000 1868.49
532000 1868.5
533000 1868.47
534000 1868.52
535000 1868.5
536000 1868.49
537000 1868.6
538000 1868.73
539000 1868.73
540000 1868.79
541000 1868.76
542000 1868.72
543000 1868.75
544000 1868.67
545000 1868.7
546000 1868.68
547000 1868.64
548000 1868.66
549000 1868.65
550000 1868.63
551000 1868.63
552000 1868.69
553000 1868.77
554000 1868.71
555000 1868.67
556000 1868.65
557000 1868.58
558000 1868.5
559000 1868.41
560000 1868.39
561000 1868.41
562000 1868.28
563000 1868.3
564000 1868.28
565000 1868.35
566000 1868.27
567000 1868.25
568000 1868.31
569000 1868.23
570000 1868.17
571000 1868.1
572000 1868.1
573000 1868.08
574000 1868.07
575000 1868.09
576000 1868.03
577000 1868.05
578000 1868.03
579000 1867.96
580000 1867.89
581000 1867.92
582000 1867.91
583000 1867.9
584000 1867.88
585000 1867.85
586000 1867.79
587000 1867.68
588000 1867.6
589000 1867.6
590000 1867.57
591000 1867.52
592000 1867.46
593000 1867.5
594000 1867.42
595000 1867.33
596000 1867.38
597000 1867.39
598000 1867.35
599000 1867.31
600000 1867.36
601000 1867.32
602000 1867.32
603000 1867.35
604000 1867.3
605000 1867.27
606000 1867.31
607000 1867.31
608000 1867.23
609000 1867.19
610000 1867.13
611000 1867.06
612000 1867.07
613000 1867.14
614000 1867.14
615000 1867.08
616000 1867.06
617000 1867.04
618000 1867.05
619000 1867.09
620000 1867.11
621000 1867.1
622000 1867.09
623000 1867.09
624000 1867.08
625000 1867.08
626000 1867.1
627000 1867.13
628000 1867.17
629000 1867.27
630000 1867.26
631000 1867.3
632000 1867.25
633000 1867.26
634000 1867.26
