# Time-averaged data for fix energyrun
# TimeStep v_U
202000 -28.617
203000 -28.3639
204000 -28.6874
205000 -28.7521
206000 -28.7608
207000 -28.7386
208000 -28.703
209000 -28.5906
210000 -28.5123
211000 -28.4583
212000 -28.4817
213000 -28.4732
214000 -28.4667
215000 -28.4678
216000 -28.5143
217000 -28.5209
218000 -28.5272
219000 -28.559
220000 -28.5766
221000 -28.578
222000 -28.5526
223000 -28.5172
224000 -28.4971
225000 -28.465
226000 -28.4257
227000 -28.395
228000 -28.3853
229000 -28.3635
230000 -28.3238
231000 -28.3112
232000 -28.321
233000 -28.3364
234000 -28.3583
235000 -28.3742
236000 -28.4036
237000 -28.4145
238000 -28.4103
239000 -28.4222
240000 -28.4473
241000 -28.4584
242000 -28.4512
243000 -28.4448
244000 -28.4436
245000 -28.4451
246000 -28.4508
247000 -28.4591
248000 -28.4524
249000 -28.4544
250000 -28.4514
251000 -28.4406
252000 -28.4408
253000 -28.4284
254000 -28.4119
255000 -28.3941
256000 -28.3835
257000 -28.3631
258000 -28.3588
259000 -28.341
260000 -28.3278
261000 -28.3242
262000 -28.3113
263000 -28.312
264000 -28.3174
265000 -28.3132
266000 -28.3071
267000 -28.3014
268000 -28.2974
269000 -28.3015
270000 -28.3024
271000 -28.3015
272000 -28.3045
273000 -28.3219
274000 -28.3412
275000 -28.355
276000 -28.3676
277000 -28.376
278000 -28.3765
279000 -28.3698
280000 -28.3572
281000 -28.3524
282000 -28.3573
283000 -28.3599
284000 -28.3623
285000 -28.3703
286000 -28.3804
287000 -28.3864
288000 -28.3952
289000 -28.4079
290000 -28.4202
291000 -28.4318
292000 -28.4427
293000 -28.4477
294000 -28.4567
295000 -28.4692
296000 -28.4772
297000 -28.4746
298000 -28.4796
299000 -28.4869
300000 -28.4949
301000 -28.5024
302000 -28.5049
303000 -28.5117
304000 -28.5141
305000 -28.5241
306000 -28.5364
307000 -28.5488
308000 -28.5643
309000 -28.5782
310000 -28.5875
311000 -28.592
312000 -28.5899
313000 -28.5964
314000 -28.5959
315000 -28.59
316000 -28.5862
317000 -28.5897
318000 -28.5917
319000 -28.5883
320000 -28.588
321000 -28.5847
322000 -28.5809
323000 -28.585
324000 -28.585
325000 -28.5809
326000 -28.581
327000 -28.5827
328000 -28.5797
329000 -28.5747
