# Time-averaged data for fix energyrun
# TimeStep v_U
202000 -5.44012
203000 -5.27102
204000 -5.14505
205000 -5.18486
206000 -5.2095
207000 -5.20965
208000 -5.18769
209000 -5.13852
210000 -5.19159
211000 -5.24144
212000 -5.31151
213000 -5.29672
214000 -5.3018
215000 -5.33222
216000 -5.39064
217000 -5.39523
218000 -5.40123
219000 -5.39533
220000 -5.3976
221000 -5.37028
222000 -5.37241
223000 -5.35683
224000 -5.34983
225000 -5.31701
226000 -5.27599
227000 -5.2554
228000 -5.21133
229000 -5.17874
230000 -5.14759
231000 -5.12138
232000 -5.09103
233000 -5.06494
234000 -5.04922
235000 -5.01896
236000 -5.00109
237000 -5.00776
238000 -5.01397
239000 -5.01145
240000 -5.02407
241000 -5.0254
242000 -5.03138
243000 -5.03995
244000 -5.04045
245000 -5.06346
246000 -5.08227
247000 -5.09993
248000 -5.12884
249000 -5.14244
250000 -5.16495
251000 -5.17834
252000 -5.18984
253000 -5.20986
254000 -5.2314
255000 -5.25496
256000 -5.28126
257000 -5.30244
258000 -5.31683
259000 -5.32511
260000 -5.33017
261000 -5.32449
262000 -5.32498
263000 -5.32316
264000 -5.32738
265000 -5.33052
266000 -5.33937
267000 -5.34822
268000 -5.34713
269000 -5.34053
270000 -5.33126
271000 -5.33024
272000 -5.33346
273000 -5.326
274000 -5.32485
275000 -5.32278
276000 -5.3164
277000 -5.31563
278000 -5.31342
279000 -5.30237
280000 -5.28665
281000 -5.27175
282000 -5.26143
283000 -5.24333
284000 -5.23609
285000 -5.22991
286000 -5.22189
287000 -5.21409
288000 -5.20229
289000 -5.19274
290000 -5.1846
291000 -5.16757
292000 -5.15735
293000 -5.14477
294000 -5.13963
295000 -5.13481
296000 -5.13435
297000 -5.13794
298000 -5.14493
299000 -5.14465
300000 -5.14652
301000 -5.14156
302000 -5.13887
303000 -5.13601
304000 -5.13521
305000 -5.1327
306000 -5.13348
307000 -5.13404
308000 -5.14085
309000 -5.1417
310000 -5.13813
311000 -5.13991
312000 -5.14007
313000 -5.14503
314000 -5.15294
315000 -5.15418
316000 -5.15588
317000 -5.16046
318000 -5.15844
319000 -5.1571
320000 -5.15241
321000 -5.14659
322000 -5.14446
323000 -5.14409
324000 -5.14238
325000 -5.14242
326000 -5.144
327000 -5.14739
328000 -5.1521
329000 -5.15598
330000 -5.16559
331000 -5.16688
332000 -5.16757
333000 -5.16619
334000 -5.16475
335000 -5.17096
336000 -5.17353
337000 -5.17731
338000 -5.17684
339000 -5.17859
340000 -5.18184
341000 -5.18464
342000 -5.19006
343000 -5.19369
344000 -5.1982
345000 -5.2058
346000 -5.21118
347000 -5.21484
348000 -5.22024
349000 -5.22652
350000 -5.22832
351000 -5.23681
352000 -5.24461
353000 -5.24852
354000 -5.25259
355000 -5.25695
356000 -5.25571
357000 -5.25809
358000 -5.25373
359000 -5.24875
360000 -5.24988
361000 -5.25366
362000 -5.25148
363000 -5.24785
364000 -5.24629
365000 -5.24965
366000 -5.24961
367000 -5.25338
368000 -5.25916
369000 -5.26297
370000 -5.26761
371000 -5.27443
372000 -5.27771
373000 -5.27705
374000 -5.27338
375000 -5.27306
376000 -5.27191
377000 -5.27258
378000 -5.27627
379000 -5.27643
380000 -5.27696
381000 -5.2811
382000 -5.28377
383000 -5.28325
384000 -5.28062
385000 -5.27696
386000 -5.27329
387000 -5.27199
388000 -5.2699
389000 -5.27448
390000 -5.27774
391000 -5.28184
392000 -5.2817
393000 -5.28331
394000 -5.28496
395000 -5.28987
396000 -5.29373
397000 -5.29808
398000 -5.30031
399000 -5.30112
400000 -5.30034
401000 -5.29904
402000 -5.29882
403000 -5.29932
404000 -5.30269
405000 -5.30361
406000 -5.30436
407000 -5.30442
408000 -5.30555
409000 -5.30574
410000 -5.3047
411000 -5.30473
412000 -5.30787
413000 -5.31158
414000 -5.31427
415000 -5.31422
416000 -5.3138
417000 -5.31473
418000 -5.31396
419000 -5.31577
420000 -5.31753
421000 -5.31897
422000 -5.31502
423000 -5.31265
424000 -5.31152
425000 -5.31109
426000 -5.3115
427000 -5.3093
428000 -5.30777
429000 -5.30841
430000 -5.30665
431000 -5.3028
432000 -5.29871
433000 -5.29263
434000 -5.28818
435000 -5.28608
436000 -5.2843
437000 -5.28227
438000 -5.28481
439000 -5.28266
440000 -5.28099
441000 -5.27824
442000 -5.27487
443000 -5.27351
444000 -5.27034
445000 -5.26739
446000 -5.26653
447000 -5.26228
448000 -5.26007
449000 -5.25785
450000 -5.25578
451000 -5.25603
452000 -5.25497
453000 -5.25456
454000 -5.25544
455000 -5.25667
456000 -5.2567
457000 -5.25715
458000 -5.26185
459000 -5.26579
460000 -5.26986
461000 -5.27242
462000 -5.2738
463000 -5.2763
464000 -5.27913
465000 -5.27791
466000 -5.27333
467000 -5.27239
468000 -5.27101
469000 -5.27172
470000 -5.27359
471000 -5.27337
472000 -5.27116
473000 -5.26794
474000 -5.26448
475000 -5.26079
476000 -5.25915
477000 -5.25869
478000 -5.25814
479000 -5.2576
480000 -5.25521
481000 -5.25505
482000 -5.25482
483000 -5.25265
484000 -5.25349
485000 -5.25279
486000 -5.25264
487000 -5.25068
488000 -5.24991
489000 -5.24715
490000 -5.24289
491000 -5.23945
492000 -5.23818
493000 -5.23805
494000 -5.23852
495000 -5.2378
496000 -5.23774
497000 -5.24014
498000 -5.24248
499000 -5.24541
500000 -5.24511
501000 -5.2451
502000 -5.24683
503000 -5.2486
504000 -5.25042
505000 -5.25064
506000 -5.25185
507000 -5.25281
508000 -5.25253
509000 -5.25234
510000 -5.25235
511000 -5.25144
512000 -5.25137
513000 -5.24963
514000 -5.24776
515000 -5.2457
516000 -5.24351
517000 -5.24217
518000 -5.24233
519000 -5.2428
520000 -5.24307
521000 -5.24364
522000 -5.24118
523000 -5.24042
524000 -5.23917
525000 -5.23896
526000 -5.23714
527000 -5.2364
528000 -5.23662
529000 -5.23645
530000 -5.23284
531000 -5.22903
532000 -5.22738
533000 -5.22792
534000 -5.22794
535000 -5.22759
536000 -5.22777
537000 -5.22779
538000 -5.22791
539000 -5.22824
540000 -5.22829
541000 -5.22866
542000 -5.22819
543000 -5.22789
544000 -5.22952
545000 -5.22919
546000 -5.22863
547000 -5.22984
548000 -5.23097
549000 -5.23133
550000 -5.23227
551000 -5.23254
552000 -5.23369
553000 -5.23341
554000 -5.23151
555000 -5.2283
556000 -5.22449
557000 -5.22116
558000 -5.21925
559000 -5.21829
560000 -5.2179
561000 -5.21798
562000 -5.21983
563000 -5.22286
564000 -5.22652
565000 -5.22801
566000 -5.22982
567000 -5.23317
568000 -5.23551
569000 -5.23592
570000 -5.23752
571000 -5.23944
572000 -5.24117
573000 -5.24184
574000 -5.24335
575000 -5.24304
576000 -5.24264
