# Time-averaged data for fix energyrun
# TimeStep v_U
202000 3.83347
203000 3.97319
204000 4.13376
205000 4.23489
206000 4.3458
207000 4.2918
208000 4.16096
209000 4.06947
210000 4.01104
211000 3.94515
212000 3.95782
213000 3.87376
214000 3.84163
215000 3.79865
216000 3.73676
217000 3.74352
218000 3.78103
219000 3.83359
220000 3.86097
221000 3.8843
222000 3.86364
223000 3.84672
224000 3.82397
225000 3.8217
226000 3.80287
227000 3.79763
228000 3.76796
229000 3.73693
230000 3.73202
231000 3.71932
232000 3.71915
233000 3.72992
234000 3.73142
235000 3.73771
236000 3.74659
237000 3.74765
238000 3.75292
239000 3.746
240000 3.74433
241000 3.74712
242000 3.7427
243000 3.73451
244000 3.75658
245000 3.75728
246000 3.76355
247000 3.77524
248000 3.76975
249000 3.78454
250000 3.78976
251000 3.81058
252000 3.82452
253000 3.8362
254000 3.83827
255000 3.84013
256000 3.85205
257000 3.86303
258000 3.86275
259000 3.86809
260000 3.88551
261000 3.89311
262000 3.89417
263000 3.90042
264000 3.92579
265000 3.94145
266000 3.95117
267000 3.95914
268000 3.97858
269000 4.00149
270000 4.0115
271000 4.00258
272000 3.98587
273000 3.97596
274000 3.96626
275000 3.9546
276000 3.9401
277000 3.93038
278000 3.924
279000 3.91421
280000 3.91147
281000 3.90232
282000 3.89791
283000 3.89782
284000 3.89491
285000 3.89584
286000 3.88888
287000 3.88873
288000 3.89049
289000 3.89978
290000 3.90827
291000 3.91732
292000 3.92764
293000 3.93627
294000 3.94685
295000 3.96286
296000 3.97294
297000 3.97895
298000 3.98899
299000 3.99314
300000 3.99666
301000 4.0021
302000 4.00088
303000 4.00899
304000 4.0157
305000 4.01935
306000 4.02019
307000 4.02523
308000 4.02799
309000 4.02999
310000 4.02299
311000 4.0247
312000 4.02376
313000 4.02079
314000 4.01469
315000 4.01653
316000 4.01199
317000 4.01499
318000 4.01932
319000 4.01645
320000 4.01266
321000 4.01609
322000 4.01413
323000 4.01882
324000 4.02167
325000 4.02522
326000 4.02613
327000 4.03262
328000 4.04005
329000 4.04393
330000 4.04343
331000 4.04182
332000 4.03609
333000 4.03114
334000 4.02591
335000 4.02192
336000 4.0157
337000 4.01397
338000 4.00878
339000 4.00604
340000 4.00326
341000 4.0034
342000 4.00363
343000 4.00281
344000 4.00521
345000 4.01099
346000 4.01811
347000 4.02199
348000 4.02575
349000 4.031
350000 4.03472
351000 4.0422
352000 4.0474
353000 4.04808
354000 4.04559
355000 4.04523
356000 4.04641
357000 4.04396
358000 4.04355
359000 4.03977
360000 4.03712
361000 4.03287
362000 4.03226
363000 4.03427
364000 4.03445
365000 4.0337
366000 4.03322
367000 4.03227
368000 4.02861
369000 4.0249
370000 4.02125
371000 4.01722
372000 4.01085
373000 4.00296
374000 3.99882
375000 3.99948
376000 3.99849
377000 4.00313
378000 4.0029
379000 4.00068
380000 4.0001
381000 4.00266
382000 4.00698
383000 4.00989
384000 4.01332
385000 4.01539
386000 4.01928
387000 4.02314
388000 4.02789
389000 4.0291
390000 4.03297
391000 4.03492
392000 4.03751
393000 4.03964
394000 4.04043
395000 4.03679
396000 4.03347
397000 4.03067
398000 4.02627
399000 4.02262
400000 4.01898
401000 4.01593
402000 4.00975
403000 4.0033
404000 3.99481
405000 3.98732
406000 3.98133
407000 3.97774
408000 3.97354
409000 3.96724
410000 3.96332
411000 3.96047
412000 3.95376
413000 3.9506
414000 3.94829
415000 3.94727
416000 3.94504
417000 3.94378
418000 3.94233
419000 3.93897
420000 3.93589
421000 3.93415
422000 3.93517
423000 3.93355
424000 3.9309
425000 3.92442
426000 3.92005
427000 3.91802
428000 3.91581
429000 3.91678
430000 3.91727
431000 3.91471
432000 3.9117
433000 3.90816
434000 3.90486
435000 3.90188
436000 3.90055
437000 3.90001
438000 3.90003
439000 3.89985
440000 3.89654
441000 3.89293
442000 3.88784
443000 3.88527
444000 3.88043
445000 3.8782
446000 3.87681
447000 3.87482
448000 3.87208
449000 3.86508
450000 3.85722
451000 3.84989
452000 3.84134
453000 3.83334
454000 3.82435
455000 3.8147
456000 3.80749
457000 3.79902
458000 3.79299
459000 3.78881
460000 3.78343
461000 3.77764
462000 3.77384
463000 3.76951
464000 3.76433
465000 3.76167
466000 3.75737
467000 3.7582
468000 3.75812
469000 3.75657
470000 3.75653
471000 3.75788
472000 3.75717
473000 3.75687
474000 3.75851
475000 3.75623
476000 3.75537
477000 3.75644
478000 3.75752
479000 3.75876
480000 3.7587
481000 3.75768
482000 3.75542
483000 3.75114
484000 3.7485
485000 3.74494
486000 3.7413
487000 3.73633
488000 3.73449
489000 3.73237
490000 3.73297
491000 3.73109
492000 3.72787
493000 3.72459
494000 3.72249
495000 3.72123
496000 3.71802
497000 3.7165
498000 3.7162
499000 3.71445
500000 3.71338
501000 3.70907
502000 3.70615
503000 3.70406
504000 3.69943
505000 3.69558
506000 3.69277
507000 3.69035
508000 3.686
509000 3.67938
510000 3.67092
511000 3.66294
512000 3.65702
513000 3.65307
514000 3.64822
515000 3.64208
516000 3.63733
517000 3.63304
518000 3.63069
519000 3.62707
520000 3.62225
521000 3.61857
522000 3.61572
523000 3.6099
524000 3.60642
525000 3.60298
526000 3.5997
527000 3.59764
528000 3.5948
529000 3.5937
530000 3.59249
531000 3.59247
532000 3.59129
533000 3.58996
534000 3.58956
535000 3.58959
536000 3.59064
537000 3.59009
538000 3.59
539000 3.58733
540000 3.58347
541000 3.58029
542000 3.57725
543000 3.5738
544000 3.56941
545000 3.56457
546000 3.56101
547000 3.55928
548000 3.556
549000 3.55387
550000 3.55173
551000 3.5515
552000 3.55136
553000 3.55036
554000 3.5482
555000 3.5476
556000 3.54616
557000 3.54751
558000 3.5472
559000 3.54706
560000 3.54511
561000 3.54145
562000 3.53784
563000 3.53548
564000 3.53576
565000 3.53607
566000 3.5356
567000 3.53309
568000 3.53203
569000 3.53092
570000 3.53228
571000 3.53293
572000 3.53354
573000 3.53357
574000 3.53372
575000 3.53385
576000 3.53516
577000 3.53745
578000 3.53741
579000 3.53898
580000 3.54001
581000 3.53786
582000 3.53804
583000 3.53888
584000 3.53911
585000 3.53787
586000 3.53621
587000 3.53627
588000 3.53766
589000 3.53817
590000 3.53812
591000 3.53914
592000 3.53894
593000 3.53979
594000 3.53895
595000 3.53846
596000 3.53942
597000 3.54013
598000 3.54031
599000 3.54138
600000 3.54356
601000 3.54636
602000 3.54744
603000 3.54898
604000 3.54892
605000 3.54965
606000 3.55107
607000 3.55108
608000 3.5517
609000 3.55451
610000 3.5563
611000 3.55686
612000 3.55845
613000 3.559
614000 3.55908
615000 3.56059
616000 3.56283
617000 3.56507
618000 3.56701
619000 3.56844
620000 3.56932
621000 3.57355
622000 3.57847
623000 3.58318
624000 3.5862
625000 3.58844
626000 3.59002
627000 3.59235
628000 3.59373
629000 3.59563
630000 3.59779
631000 3.59942
632000 3.59994
633000 3.6001
634000 3.59937
635000 3.59757
636000 3.59438
637000 3.59251
638000 3.59221
639000 3.5949
640000 3.59658
641000 3.59853
642000 3.60109
643000 3.60373
644000 3.60656
645000 3.60815
646000 3.60991
647000 3.6117
648000 3.61282
649000 3.61406
650000 3.61519
651000 3.61533
652000 3.61484
653000 3.6136
654000 3.61296
655000 3.61439
656000 3.61543
657000 3.6157
658000 3.61722
659000 3.61831
660000 3.61832
661000 3.61896
662000 3.62016
663000 3.61984
664000 3.61948
665000 3.6181
666000 3.61798
667000 3.61658
668000 3.61736
669000 3.61785
670000 3.61939
671000 3.61838
672000 3.61678
673000 3.61664
674000 3.61617
675000 3.61622
676000 3.6162
677000 3.61484
678000 3.6122
679000 3.61047
680000 3.61124
681000 3.61179
682000 3.61378
683000 3.61498
684000 3.61532
685000 3.61506
686000 3.61407
687000 3.61343
688000 3.61358
689000 3.61413
690000 3.61552
691000 3.6156
692000 3.61565
693000 3.61519
694000 3.61456
695000 3.61471
696000 3.61486
697000 3.61623
698000 3.6175
699000 3.6175
700000 3.61629
701000 3.61449
702000 3.61334
703000 3.6122
704000 3.61207
705000 3.61141
706000 3.61318
707000 3.61508
708000 3.61659
709000 3.61898
710000 3.62029
711000 3.62187
712000 3.62264
713000 3.62259
714000 3.62481
715000 3.62642
716000 3.62689
717000 3.62699
718000 3.62744
719000 3.62709
720000 3.62683
721000 3.62706
722000 3.62683
723000 3.62637
724000 3.62686
725000 3.62738
726000 3.62848
727000 3.63042
728000 3.63296
729000 3.6344
730000 3.63438
731000 3.63453
732000 3.6354
733000 3.63662
734000 3.63683
735000 3.63646
736000 3.63598
737000 3.63546
738000 3.63558
739000 3.63696
740000 3.63839
741000 3.63881
742000 3.63994
743000 3.64097
744000 3.64233
745000 3.64473
746000 3.64701
747000 3.64889
748000 3.65002
749000 3.65051
750000 3.65145
751000 3.65227
752000 3.65268
753000 3.65253
754000 3.65273
755000 3.6518
756000 3.65066
757000 3.64995
758000 3.64935
759000 3.64888
760000 3.64972
761000 3.64886
762000 3.64677
763000 3.64652
764000 3.64571
765000 3.64419
766000 3.6434
767000 3.64316
768000 3.64416
769000 3.64418
770000 3.6439
771000 3.64315
772000 3.64247
773000 3.64202
774000 3.64133
775000 3.64165
776000 3.64223
777000 3.64247
778000 3.64277
779000 3.64316
780000 3.64391
781000 3.64376
782000 3.64297
783000 3.64259
784000 3.64062
785000 3.63983
786000 3.63962
787000 3.63938
788000 3.63897
789000 3.63913
790000 3.63906
791000 3.63859
792000 3.63976
793000 3.64106
794000 3.64197
795000 3.64337
796000 3.64442
797000 3.64576
798000 3.64717
799000 3.64895
800000 3.64978
801000 3.65111
802000 3.65423
803000 3.65672
804000 3.6594
805000 3.66195
806000 3.66382
807000 3.66566
808000 3.66752
809000 3.66878
810000 3.67127
811000 3.67326
812000 3.67446
813000 3.6762
814000 3.67756
815000 3.67843
816000 3.67987
817000 3.68029
818000 3.68263
819000 3.68391
820000 3.68369
821000 3.68524
822000 3.68611
823000 3.68806
824000 3.68964
825000 3.69137
826000 3.69334
827000 3.69381
828000 3.69374
829000 3.6939
830000 3.69374
831000 3.69488
832000 3.69589
833000 3.69653
834000 3.69629
835000 3.6973
836000 3.69904
837000 3.70023
838000 3.70068
839000 3.7014
840000 3.70125
841000 3.70229
842000 3.70328
843000 3.70349
844000 3.70348
845000 3.70294
846000 3.70267
847000 3.70257
848000 3.70134
849000 3.70061
850000 3.70021
851000 3.6998
852000 3.69948
853000 3.69894
854000 3.69816
855000 3.69774
856000 3.69799
857000 3.69774
858000 3.69786
859000 3.69917
860000 3.69978
861000 3.70094
862000 3.70241
863000 3.70356
864000 3.70544
865000 3.70723
866000 3.70862
867000 3.71009
868000 3.71237
869000 3.71411
870000 3.71583
871000 3.71664
872000 3.71706
873000 3.71758
874000 3.71824
875000 3.71914
876000 3.71938
877000 3.71995
878000 3.71945
879000 3.71963
880000 3.71974
881000 3.71909
882000 3.71856
883000 3.7178
884000 3.71776
885000 3.71841
886000 3.71862
887000 3.71999
888000 3.72183
889000 3.72295
890000 3.72344
891000 3.72426
892000 3.72351
893000 3.7232
894000 3.72306
895000 3.72285
896000 3.72253
897000 3.72092
898000 3.7193
899000 3.71857
900000 3.71804
901000 3.71691
902000 3.71582
903000 3.7157
904000 3.71663
905000 3.71733
906000 3.71738
907000 3.71801
908000 3.71949
909000 3.72019
910000 3.7205
911000 3.72185
912000 3.72274
913000 3.7236
914000 3.72399
915000 3.72444
916000 3.72648
917000 3.72741
918000 3.72769
919000 3.7282
920000 3.72761
921000 3.72696
922000 3.72671
923000 3.72583
924000 3.72527
925000 3.72426
926000 3.72522
927000 3.72613
928000 3.72727
929000 3.72792
930000 3.72769
931000 3.72812
932000 3.72818
933000 3.72887
934000 3.73043
935000 3.73102
936000 3.73149
937000 3.73167
938000 3.73234
939000 3.73251
940000 3.73206
941000 3.73121
942000 3.73132
943000 3.73214
944000 3.73233
945000 3.73225
946000 3.73285
947000 3.73301
948000 3.73334
949000 3.73433
950000 3.73495
951000 3.73562
952000 3.73536
953000 3.73561
954000 3.73608
955000 3.73624
956000 3.73701
957000 3.73813
958000 3.74013
959000 3.74185
960000 3.74371
961000 3.74559
962000 3.7475
963000 3.74933
964000 3.75058
965000 3.75138
966000 3.7514
967000 3.75122
968000 3.75063
969000 3.75113
970000 3.75221
971000 3.75236
972000 3.75265
973000 3.75374
974000 3.75551
975000 3.75696
976000 3.75824
977000 3.7595
978000 3.76042
979000 3.76158
980000 3.76265
981000 3.76349
982000 3.76454
983000 3.76583
984000 3.76653
985000 3.76771
986000 3.76907
987000 3.77056
988000 3.7718
989000 3.77306
990000 3.77333
991000 3.77297
992000 3.77329
993000 3.77339
994000 3.77418
995000 3.77439
996000 3.77508
997000 3.77538
998000 3.77585
999000 3.77688
1000000 3.77862
1001000 3.78062
1002000 3.78227
1003000 3.78411
1004000 3.78602
1005000 3.78743
1006000 3.78868
1007000 3.79017
1008000 3.7909
1009000 3.79199
1010000 3.79243
1011000 3.79262
1012000 3.79344
1013000 3.79393
1014000 3.7941
1015000 3.79485
1016000 3.79604
1017000 3.79672
1018000 3.79777
1019000 3.79909
1020000 3.80023
1021000 3.80135
1022000 3.80252
1023000 3.80379
1024000 3.80485
1025000 3.80521
1026000 3.80546
1027000 3.80553
1028000 3.80607
1029000 3.80645
1030000 3.80779
1031000 3.80891
1032000 3.81045
1033000 3.81265
1034000 3.81433
1035000 3.81691
1036000 3.8187
1037000 3.82115
1038000 3.82375
1039000 3.82597
1040000 3.82753
1041000 3.82911
1042000 3.8313
1043000 3.83374
1044000 3.83575
1045000 3.83739
1046000 3.839
1047000 3.84037
1048000 3.84146
1049000 3.84241
1050000 3.84322
1051000 3.84372
1052000 3.84516
1053000 3.84593
1054000 3.84699
1055000 3.84829
1056000 3.85011
1057000 3.8522
1058000 3.85392
1059000 3.85522
1060000 3.85573
1061000 3.85608
1062000 3.85656
1063000 3.85706
1064000 3.85698
1065000 3.85758
1066000 3.8576
1067000 3.85714
1068000 3.85681
1069000 3.85681
1070000 3.85675
1071000 3.85608
1072000 3.85605
1073000 3.85619
1074000 3.8571
1075000 3.85667
1076000 3.85534
1077000 3.85363
1078000 3.85217
1079000 3.85146
1080000 3.85098
1081000 3.85018
1082000 3.84908
1083000 3.84834
1084000 3.84802
1085000 3.84786
1086000 3.84785
1087000 3.84804
1088000 3.84916
1089000 3.84964
1090000 3.85019
1091000 3.85132
1092000 3.85187
1093000 3.85187
1094000 3.85188
1095000 3.85118
1096000 3.85134
1097000 3.85133
1098000 3.85178
1099000 3.85187
1100000 3.85152
1101000 3.8515
1102000 3.85146
1103000 3.85251
1104000 3.85292
1105000 3.85377
1106000 3.85444
1107000 3.85601
1108000 3.85717
1109000 3.85781
1110000 3.85968
1111000 3.86174
1112000 3.86375
1113000 3.8649
1114000 3.86536
1115000 3.86654
1116000 3.86746
1117000 3.86806
1118000 3.86971
1119000 3.87116
1120000 3.87187
1121000 3.87205
1122000 3.87196
1123000 3.87175
1124000 3.87232
1125000 3.87205
1126000 3.87171
1127000 3.87164
1128000 3.87103
1129000 3.8699
1130000 3.86965
1131000 3.86931
1132000 3.86835
1133000 3.8676
1134000 3.86735
1135000 3.86683
1136000 3.86639
1137000 3.86654
1138000 3.8675
1139000 3.86753
1140000 3.86778
1141000 3.86871
1142000 3.86933
1143000 3.87034
1144000 3.87156
1145000 3.87268
1146000 3.87294
1147000 3.87334
1148000 3.87408
1149000 3.8745
1150000 3.87457
1151000 3.87525
1152000 3.87546
1153000 3.87545
1154000 3.87517
1155000 3.87473
1156000 3.87458
1157000 3.87366
1158000 3.87274
1159000 3.87232
1160000 3.87237
1161000 3.87347
1162000 3.87544
1163000 3.87659
1164000 3.87731
1165000 3.87773
1166000 3.87795
1167000 3.87817
1168000 3.87867
1169000 3.87819
1170000 3.87873
1171000 3.8793
1172000 3.87967
1173000 3.88058
1174000 3.88125
1175000 3.88256
1176000 3.88302
1177000 3.88363
1178000 3.88318
1179000 3.88321
1180000 3.88284
1181000 3.88253
1182000 3.8826
1183000 3.88244
1184000 3.88218
1185000 3.88139
1186000 3.88031
1187000 3.87964
1188000 3.87953
1189000 3.87876
1190000 3.87806
1191000 3.87741
1192000 3.87734
1193000 3.87721
1194000 3.87685
1195000 3.8761
1196000 3.87493
1197000 3.87449
1198000 3.874
1199000 3.8744
1200000 3.87438
1201000 3.87476
1202000 3.87479
1203000 3.87481
1204000 3.87445
1205000 3.87423
1206000 3.87394
1207000 3.87458
1208000 3.87478
1209000 3.87471
1210000 3.87505
1211000 3.87438
1212000 3.8739
1213000 3.87325
1214000 3.87354
1215000 3.87378
1216000 3.87357
1217000 3.87356
1218000 3.87336
1219000 3.87321
1220000 3.87299
1221000 3.87253
1222000 3.87245
1223000 3.87251
1224000 3.87156
1225000 3.87096
1226000 3.87057
1227000 3.86991
1228000 3.87009
1229000 3.87029
1230000 3.87058
1231000 3.8711
1232000 3.87166
1233000 3.87191
1234000 3.87177
1235000 3.87196
1236000 3.87181
1237000 3.87149
1238000 3.87186
1239000 3.87188
1240000 3.8715
1241000 3.8714
1242000 3.87098
1243000 3.87102
1244000 3.8719
1245000 3.87299
1246000 3.87386
1247000 3.87386
1248000 3.87456
1249000 3.87486
1250000 3.87578
1251000 3.87637
1252000 3.87694
1253000 3.87781
1254000 3.87837
1255000 3.87835
1256000 3.87877
1257000 3.87869
1258000 3.87882
1259000 3.87879
1260000 3.87907
1261000 3.87904
1262000 3.87963
1263000 3.87982
1264000 3.87975
1265000 3.88022
1266000 3.88045
1267000 3.88129
1268000 3.88175
1269000 3.88187
1270000 3.88153
1271000 3.88166
1272000 3.88221
1273000 3.88239
1274000 3.88302
1275000 3.88341
1276000 3.88391
1277000 3.8841
1278000 3.88431
1279000 3.88483
1280000 3.8853
1281000 3.88528
1282000 3.88529
1283000 3.88534
1284000 3.88493
1285000 3.88487
1286000 3.88465
1287000 3.88465
1288000 3.88555
1289000 3.88602
1290000 3.88596
1291000 3.88584
1292000 3.88572
1293000 3.88575
1294000 3.88507
1295000 3.88435
1296000 3.88353
1297000 3.88239
1298000 3.88139
1299000 3.88039
1300000 3.87994
1301000 3.88088
1302000 3.88095
1303000 3.88095
1304000 3.88131
1305000 3.88103
1306000 3.88117
1307000 3.88094
1308000 3.88111
1309000 3.88104
1310000 3.88112
1311000 3.88191
1312000 3.88235
1313000 3.88308
1314000 3.88408
1315000 3.88463
1316000 3.88452
1317000 3.88431
1318000 3.88404
1319000 3.88475
1320000 3.88523
1321000 3.88552
1322000 3.88612
1323000 3.88623
1324000 3.88689
1325000 3.88759
1326000 3.88828
1327000 3.88887
1328000 3.88836
1329000 3.88763
1330000 3.88628
1331000 3.88576
1332000 3.88476
1333000 3.88398
1334000 3.88293
1335000 3.88212
1336000 3.88192
1337000 3.882
1338000 3.88262
1339000 3.88292
1340000 3.883
1341000 3.88295
1342000 3.8829
1343000 3.88319
1344000 3.88314
1345000 3.88323
1346000 3.88356
1347000 3.88352
1348000 3.8828
1349000 3.88235
1350000 3.88213
1351000 3.88212
1352000 3.88223
1353000 3.88193
1354000 3.88191
1355000 3.88196
1356000 3.88248
1357000 3.88273
1358000 3.88278
1359000 3.8832
1360000 3.88333
1361000 3.88307
1362000 3.88304
1363000 3.88295
1364000 3.88316
1365000 3.88345
1366000 3.88329
1367000 3.88363
1368000 3.8838
1369000 3.8835
1370000 3.88326
1371000 3.8827
1372000 3.88243
1373000 3.88254
1374000 3.88261
1375000 3.88233
1376000 3.88196
1377000 3.88179
1378000 3.88123
1379000 3.8802
1380000 3.87921
1381000 3.87806
1382000 3.87723
1383000 3.87687
1384000 3.87631
1385000 3.87528
1386000 3.87419
1387000 3.87361
1388000 3.87328
1389000 3.87285
1390000 3.87288
1391000 3.87285
1392000 3.87326
1393000 3.87351
1394000 3.87345
1395000 3.87383
1396000 3.87385
1397000 3.87409
1398000 3.87402
1399000 3.874
1400000 3.87391
1401000 3.87391
1402000 3.8736
1403000 3.87331
1404000 3.8732
1405000 3.87298
1406000 3.87316
1407000 3.87327
1408000 3.87266
1409000 3.87235
1410000 3.87226
1411000 3.8719
1412000 3.87148
1413000 3.87081
1414000 3.8706
1415000 3.8699
1416000 3.86955
1417000 3.86896
1418000 3.86817
1419000 3.86746
1420000 3.86722
1421000 3.86756
1422000 3.86749
1423000 3.86708
1424000 3.86718
1425000 3.86723
1426000 3.86713
1427000 3.8677
1428000 3.86812
1429000 3.86957
1430000 3.87049
1431000 3.8712
1432000 3.87198
1433000 3.87216
1434000 3.87235
1435000 3.87284
1436000 3.87331
1437000 3.87349
1438000 3.87353
1439000 3.87371
1440000 3.87336
1441000 3.87334
1442000 3.87278
1443000 3.8721
1444000 3.87117
1445000 3.87024
1446000 3.8697
1447000 3.86942
1448000 3.86937
1449000 3.869
1450000 3.86899
1451000 3.86903
1452000 3.86855
1453000 3.86759
1454000 3.86657
1455000 3.86615
1456000 3.86559
1457000 3.86539
1458000 3.86481
1459000 3.86438
1460000 3.86445
1461000 3.86462
1462000 3.86441
1463000 3.86475
1464000 3.86531
1465000 3.86523
1466000 3.8655
1467000 3.86568
1468000 3.86562
1469000 3.86565
1470000 3.86579
1471000 3.86585
1472000 3.86588
1473000 3.86612
1474000 3.86684
1475000 3.86749
1476000 3.86818
1477000 3.86888
1478000 3.86916
1479000 3.86985
1480000 3.87074
1481000 3.87148
1482000 3.87178
1483000 3.87219
1484000 3.87319
1485000 3.87411
1486000 3.87557
1487000 3.87663
1488000 3.87695
1489000 3.87786
1490000 3.8784
1491000 3.87932
1492000 3.88022
1493000 3.88113
1494000 3.88127
1495000 3.88144
1496000 3.88167
1497000 3.88221
1498000 3.88258
1499000 3.88328
1500000 3.8837
1501000 3.88426
1502000 3.8847
1503000 3.88528
1504000 3.88625
1505000 3.88696
1506000 3.88789
1507000 3.88893
1508000 3.8896
1509000 3.89007
1510000 3.89105
1511000 3.89212
1512000 3.89308
1513000 3.89371
1514000 3.89362
1515000 3.89395
1516000 3.89426
1517000 3.89466
1518000 3.895
1519000 3.89524
1520000 3.89538
1521000 3.89561
1522000 3.8962
1523000 3.89672
1524000 3.89696
1525000 3.89699
1526000 3.89723
1527000 3.89715
1528000 3.89697
1529000 3.89727
1530000 3.89812
1531000 3.89851
1532000 3.89821
1533000 3.8983
1534000 3.89825
1535000 3.89818
1536000 3.89794
1537000 3.898
1538000 3.89797
1539000 3.89754
1540000 3.89721
1541000 3.89689
1542000 3.8962
1543000 3.89601
1544000 3.89581
1545000 3.896
1546000 3.89613
1547000 3.89576
1548000 3.89546
1549000 3.89582
1550000 3.89651
1551000 3.89741
1552000 3.89831
1553000 3.89944
1554000 3.90071
1555000 3.90145
1556000 3.90244
