# Time-averaged data for fix energyrun
# TimeStep v_U
202000 -24.743
203000 -24.5322
204000 -24.5649
205000 -24.6533
206000 -24.5712
207000 -24.5984
208000 -24.6009
209000 -24.5671
210000 -24.5725
211000 -24.5264
212000 -24.496
213000 -24.5669
214000 -24.6099
215000 -24.6377
216000 -24.6934
217000 -24.7147
218000 -24.713
219000 -24.6891
220000 -24.6567
221000 -24.6558
222000 -24.6329
223000 -24.5998
224000 -24.5748
225000 -24.5385
226000 -24.5126
227000 -24.4763
228000 -24.4494
229000 -24.4394
230000 -24.4529
231000 -24.4666
232000 -24.4728
233000 -24.4662
234000 -24.4996
235000 -24.5055
236000 -24.5257
237000 -24.525
238000 -24.5367
239000 -24.527
240000 -24.5111
241000 -24.4854
242000 -24.4649
243000 -24.4566
244000 -24.4566
245000 -24.4491
246000 -24.4327
247000 -24.4298
248000 -24.4392
249000 -24.4358
250000 -24.4541
251000 -24.471
252000 -24.4771
253000 -24.4787
254000 -24.487
255000 -24.4945
256000 -24.5036
257000 -24.5184
258000 -24.5142
259000 -24.5095
260000 -24.5052
261000 -24.5036
262000 -24.5046
263000 -24.5147
264000 -24.529
265000 -24.5435
266000 -24.5484
267000 -24.5537
268000 -24.5596
269000 -24.5633
270000 -24.5601
271000 -24.5702
272000 -24.5793
273000 -24.5881
274000 -24.5992
275000 -24.6122
276000 -24.6293
277000 -24.6413
278000 -24.6522
279000 -24.6613
280000 -24.6638
281000 -24.673
282000 -24.6762
283000 -24.6753
284000 -24.672
285000 -24.67
286000 -24.6725
287000 -24.6694
288000 -24.6717
289000 -24.6784
290000 -24.6815
291000 -24.6941
292000 -24.6975
293000 -24.6945
294000 -24.6922
295000 -24.6933
296000 -24.6882
297000 -24.6984
298000 -24.7062
299000 -24.7067
300000 -24.7039
301000 -24.7035
302000 -24.7094
303000 -24.7118
304000 -24.7129
305000 -24.7202
306000 -24.7276
307000 -24.7324
308000 -24.7329
309000 -24.7282
310000 -24.7255
311000 -24.7317
312000 -24.737
313000 -24.7353
314000 -24.7374
315000 -24.7324
316000 -24.7331
317000 -24.7288
318000 -24.7224
319000 -24.7199
320000 -24.7149
321000 -24.7126
322000 -24.7114
323000 -24.7077
324000 -24.7012
325000 -24.6991
326000 -24.6978
