# Time-averaged data for fix energyrun
# TimeStep v_U
202000 -28.8641
203000 -28.5407
204000 -28.1193
205000 -28.072
206000 -28.17
207000 -28.1083
208000 -28.1261
209000 -28.2306
210000 -28.3729
211000 -28.4361
212000 -28.4716
213000 -28.4942
214000 -28.4853
215000 -28.5194
216000 -28.5444
217000 -28.5636
218000 -28.6108
219000 -28.6399
220000 -28.6207
221000 -28.5815
222000 -28.5428
223000 -28.5269
224000 -28.5359
225000 -28.5305
226000 -28.5439
227000 -28.5424
228000 -28.5042
229000 -28.4799
230000 -28.466
231000 -28.4623
232000 -28.4615
233000 -28.4557
234000 -28.4592
235000 -28.4569
236000 -28.4485
237000 -28.4323
238000 -28.4098
239000 -28.3801
240000 -28.3625
241000 -28.3438
242000 -28.346
243000 -28.3461
244000 -28.3461
245000 -28.3379
246000 -28.3382
247000 -28.3373
248000 -28.3271
249000 -28.3155
250000 -28.3198
251000 -28.3213
252000 -28.3263
253000 -28.3357
254000 -28.3408
255000 -28.3417
256000 -28.3499
257000 -28.3624
258000 -28.3709
259000 -28.3803
260000 -28.3849
261000 -28.3954
262000 -28.3976
263000 -28.3933
264000 -28.3871
265000 -28.3846
266000 -28.385
267000 -28.3826
268000 -28.3802
269000 -28.3765
270000 -28.3799
271000 -28.3716
272000 -28.3654
273000 -28.3652
274000 -28.3623
275000 -28.3602
276000 -28.354
277000 -28.3426
278000 -28.3424
279000 -28.3378
280000 -28.328
281000 -28.3221
282000 -28.3136
283000 -28.3094
284000 -28.307
285000 -28.3113
286000 -28.3169
287000 -28.3231
288000 -28.3202
289000 -28.3182
290000 -28.3175
291000 -28.317
292000 -28.3171
293000 -28.3231
294000 -28.3279
295000 -28.3364
296000 -28.344
297000 -28.3516
298000 -28.3576
299000 -28.3609
300000 -28.3639
301000 -28.3788
302000 -28.3892
303000 -28.3977
304000 -28.4044
305000 -28.4155
306000 -28.4215
307000 -28.4342
308000 -28.4431
309000 -28.4479
310000 -28.4518
311000 -28.4554
312000 -28.4528
313000 -28.4565
314000 -28.4579
315000 -28.458
316000 -28.4572
317000 -28.4636
318000 -28.4622
319000 -28.4595
320000 -28.4616
321000 -28.4593
322000 -28.4634
323000 -28.4652
324000 -28.4661
325000 -28.4653
326000 -28.4667
327000 -28.4652
328000 -28.4638
329000 -28.4633
330000 -28.4607
331000 -28.4595
332000 -28.4637
333000 -28.4662
334000 -28.4683
335000 -28.4665
336000 -28.4683
337000 -28.4757
338000 -28.4837
339000 -28.4901
340000 -28.4924
341000 -28.4916
342000 -28.4923
343000 -28.4937
344000 -28.4937
345000 -28.4913
346000 -28.4883
347000 -28.4862
348000 -28.4865
349000 -28.4885
350000 -28.4848
351000 -28.4766
352000 -28.4686
353000 -28.4666
354000 -28.4633
355000 -28.4612
356000 -28.457
357000 -28.4545
358000 -28.4489
359000 -28.4522
360000 -28.4522
361000 -28.4485
362000 -28.4431
363000 -28.4415
364000 -28.4423
365000 -28.4437
366000 -28.4461
367000 -28.4496
368000 -28.4544
369000 -28.4584
370000 -28.4635
371000 -28.4663
372000 -28.4672
373000 -28.4671
374000 -28.4675
375000 -28.4713
376000 -28.4729
377000 -28.479
378000 -28.4895
379000 -28.4989
380000 -28.5061
381000 -28.5089
382000 -28.5067
383000 -28.5029
384000 -28.4975
385000 -28.4887
386000 -28.4807
387000 -28.476
388000 -28.4689
389000 -28.4665
390000 -28.4664
391000 -28.4632
392000 -28.4607
393000 -28.4627
394000 -28.4656
395000 -28.4643
396000 -28.4613
397000 -28.4563
398000 -28.4502
399000 -28.4473
400000 -28.4456
401000 -28.4414
402000 -28.4376
403000 -28.4369
404000 -28.4357
405000 -28.4329
406000 -28.4322
407000 -28.4345
408000 -28.4367
409000 -28.4359
410000 -28.4348
411000 -28.4334
412000 -28.4335
413000 -28.4337
414000 -28.4304
415000 -28.4285
416000 -28.4296
417000 -28.4286
418000 -28.426
419000 -28.4212
420000 -28.4167
421000 -28.4146
422000 -28.4142
423000 -28.4131
424000 -28.4152
425000 -28.4164
426000 -28.4232
427000 -28.4282
428000 -28.4273
429000 -28.4282
430000 -28.4289
431000 -28.4264
432000 -28.4248
433000 -28.4259
434000 -28.4226
435000 -28.4199
436000 -28.4142
437000 -28.4108
438000 -28.4108
439000 -28.4091
440000 -28.4083
441000 -28.4106
442000 -28.4134
443000 -28.4143
444000 -28.4131
445000 -28.4109
446000 -28.4132
447000 -28.4125
448000 -28.4115
449000 -28.4097
450000 -28.4061
451000 -28.4033
452000 -28.4047
453000 -28.4046
454000 -28.4065
455000 -28.4036
456000 -28.404
457000 -28.4039
458000 -28.4047
459000 -28.4056
460000 -28.4037
461000 -28.4045
462000 -28.4034
463000 -28.4026
464000 -28.4033
465000 -28.4031
466000 -28.4003
467000 -28.401
468000 -28.4031
469000 -28.405
470000 -28.4042
471000 -28.4043
472000 -28.4025
473000 -28.4002
474000 -28.4003
475000 -28.3991
476000 -28.3975
477000 -28.3966
478000 -28.396
479000 -28.3972
480000 -28.3975
481000 -28.3956
482000 -28.3931
483000 -28.3934
484000 -28.393
485000 -28.3922
486000 -28.3897
487000 -28.3879
488000 -28.3854
489000 -28.3853
490000 -28.3843
491000 -28.3819
492000 -28.3833
493000 -28.3844
494000 -28.3848
495000 -28.3861
496000 -28.3851
497000 -28.3841
498000 -28.3871
499000 -28.3914
500000 -28.395
501000 -28.3985
502000 -28.4014
503000 -28.4033
504000 -28.4052
505000 -28.4085
506000 -28.4073
507000 -28.4043
508000 -28.4025
509000 -28.4013
510000 -28.402
511000 -28.4008
512000 -28.3995
513000 -28.3984
514000 -28.4009
515000 -28.4028
516000 -28.4051
517000 -28.4075
518000 -28.4077
519000 -28.4066
520000 -28.4064
521000 -28.4046
522000 -28.4054
523000 -28.4079
524000 -28.4117
525000 -28.415
526000 -28.4188
527000 -28.4199
528000 -28.4188
529000 -28.4176
530000 -28.4158
531000 -28.4153
532000 -28.415
533000 -28.4139
534000 -28.4133
535000 -28.4125
536000 -28.4131
537000 -28.4144
538000 -28.4154
539000 -28.4172
540000 -28.4192
541000 -28.4199
542000 -28.4202
543000 -28.418
544000 -28.4173
545000 -28.4158
546000 -28.4138
547000 -28.414
548000 -28.413
549000 -28.4122
550000 -28.4118
551000 -28.4101
552000 -28.4082
553000 -28.4062
554000 -28.4059
555000 -28.4057
556000 -28.4062
557000 -28.4067
558000 -28.4082
559000 -28.407
560000 -28.4069
561000 -28.4053
562000 -28.4051
563000 -28.4048
564000 -28.4054
565000 -28.4067
566000 -28.4063
567000 -28.4052
568000 -28.4057
569000 -28.4051
570000 -28.4038
571000 -28.4031
572000 -28.4035
573000 -28.4048
574000 -28.4028
575000 -28.403
576000 -28.4027
577000 -28.4011
578000 -28.3999
579000 -28.3991
580000 -28.3978
581000 -28.3983
582000 -28.3966
583000 -28.3963
584000 -28.3953
585000 -28.3953
586000 -28.3955
587000 -28.3944
588000 -28.3926
589000 -28.3927
590000 -28.3914
591000 -28.3916
592000 -28.3919
593000 -28.3945
594000 -28.396
595000 -28.3972
596000 -28.3986
597000 -28.3986
598000 -28.399
599000 -28.3977
600000 -28.3973
601000 -28.3973
602000 -28.3978
603000 -28.3967
604000 -28.394
