# Time-averaged data for fix pressrun
# TimeStep v_P
202000 590.096
203000 588.155
204000 588.118
205000 589.933
206000 591.276
207000 590.789
208000 590.276
209000 590.011
210000 591.405
211000 592.15
212000 591.636
213000 591.301
214000 590.951
215000 590.559
216000 590.538
217000 591.422
218000 591.183
219000 591.293
220000 591.128
221000 591.77
222000 592.057
223000 591.931
224000 591.974
225000 592.116
226000 591.93
227000 592.23
228000 592.307
229000 592.44
230000 592.463
231000 592.881
232000 592.835
233000 592.996
234000 592.627
235000 592.705
236000 592.617
237000 592.609
238000 592.747
239000 592.965
240000 593.071
241000 592.882
242000 592.757
243000 592.737
244000 592.76
245000 592.821
246000 592.922
247000 592.749
248000 592.881
249000 593.041
250000 593.343
251000 593.564
252000 593.593
253000 593.496
254000 593.415
255000 593.421
256000 593.292
257000 593.26
258000 593.176
259000 593.2
260000 593.157
261000 593.192
262000 593.183
263000 593.218
264000 593.359
265000 593.419
266000 593.523
267000 593.514
268000 593.52
269000 593.435
270000 593.386
271000 593.47
272000 593.525
273000 593.508
274000 593.577
275000 593.557
276000 593.647
277000 593.602
278000 593.581
279000 593.62
280000 593.551
281000 593.606
282000 593.615
283000 593.613
284000 593.59
285000 593.595
286000 593.741
287000 593.784
288000 593.714
289000 593.876
290000 593.954
291000 593.91
292000 594
293000 593.957
294000 594.001
295000 594.07
296000 594.168
297000 594.188
298000 594.22
299000 594.283
300000 594.214
301000 594.199
302000 594.229
303000 594.204
304000 594.131
305000 594.262
306000 594.36
307000 594.396
308000 594.498
309000 594.491
310000 594.386
311000 594.468
312000 594.543
313000 594.562
314000 594.556
315000 594.596
316000 594.591
317000 594.656
318000 594.573
319000 594.464
320000 594.42
321000 594.452
322000 594.446
323000 594.477
324000 594.506
325000 594.477
326000 594.524
327000 594.468
328000 594.458
329000 594.432
330000 594.461
331000 594.522
332000 594.62
333000 594.69
334000 594.679
335000 594.647
336000 594.583
337000 594.643
338000 594.605
339000 594.66
340000 594.649
341000 594.687
342000 594.722
343000 594.826
344000 594.957
345000 594.907
346000 594.905
347000 594.926
348000 594.935
349000 594.913
350000 594.966
351000 594.972
352000 594.977
353000 594.982
354000 594.894
355000 594.895
356000 594.867
357000 594.875
358000 594.848
359000 594.931
360000 594.848
361000 594.832
362000 594.765
363000 594.697
364000 594.67
365000 594.666
366000 594.669
367000 594.656
368000 594.602
369000 594.554
370000 594.536
371000 594.554
372000 594.559
373000 594.529
374000 594.524
375000 594.507
376000 594.428
377000 594.454
378000 594.437
379000 594.432
380000 594.404
381000 594.451
382000 594.451
383000 594.42
384000 594.383
385000 594.314
386000 594.283
387000 594.33
388000 594.381
389000 594.367
390000 594.362
391000 594.369
392000 594.385
393000 594.36
394000 594.372
395000 594.399
396000 594.374
397000 594.37
398000 594.428
399000 594.432
400000 594.402
401000 594.397
402000 594.314
403000 594.326
404000 594.324
405000 594.355
406000 594.404
407000 594.425
408000 594.381
409000 594.462
410000 594.439
411000 594.417
412000 594.405
413000 594.374
414000 594.363
415000 594.339
416000 594.393
417000 594.429
418000 594.456
419000 594.47
420000 594.484
421000 594.553
422000 594.5
423000 594.512
424000 594.516
425000 594.497
426000 594.478
427000 594.517
428000 594.49
429000 594.515
430000 594.502
431000 594.485
432000 594.483
433000 594.501
434000 594.501
435000 594.483
436000 594.473
437000 594.505
438000 594.481
439000 594.486
440000 594.446
441000 594.448
442000 594.398
443000 594.455
444000 594.456
445000 594.486
446000 594.501
447000 594.51
448000 594.52
449000 594.569
450000 594.545
451000 594.505
452000 594.531
453000 594.541
454000 594.51
455000 594.495
456000 594.52
457000 594.561
458000 594.535
459000 594.537
460000 594.552
461000 594.554
462000 594.577
463000 594.532
464000 594.524
465000 594.54
466000 594.537
467000 594.576
468000 594.574
469000 594.626
470000 594.629
471000 594.612
472000 594.624
473000 594.632
474000 594.651
475000 594.634
476000 594.64
477000 594.629
478000 594.64
479000 594.637
480000 594.664
481000 594.704
482000 594.695
483000 594.724
484000 594.757
485000 594.734
486000 594.712
487000 594.703
488000 594.71
489000 594.729
490000 594.731
491000 594.715
492000 594.739
493000 594.754
494000 594.729
495000 594.747
496000 594.745
497000 594.735
498000 594.728
499000 594.742
500000 594.753
501000 594.754
502000 594.77
503000 594.801
504000 594.806
505000 594.795
506000 594.775
507000 594.761
508000 594.751
509000 594.738
510000 594.737
511000 594.72
512000 594.723
513000 594.701
514000 594.7
515000 594.702
516000 594.675
517000 594.666
518000 594.615
519000 594.57
520000 594.572
521000 594.552
522000 594.528
523000 594.517
524000 594.492
525000 594.485
526000 594.505
527000 594.516
528000 594.516
529000 594.508
530000 594.525
531000 594.53
532000 594.526
533000 594.519
534000 594.533
535000 594.524
536000 594.505
537000 594.489
538000 594.515
539000 594.546
540000 594.58
541000 594.586
542000 594.598
543000 594.559
544000 594.557
545000 594.548
546000 594.553
547000 594.541
548000 594.536
549000 594.562
550000 594.562
551000 594.564
552000 594.589
553000 594.601
554000 594.592
555000 594.572
556000 594.566
557000 594.555
558000 594.527
559000 594.512
560000 594.503
561000 594.489
562000 594.497
563000 594.511
564000 594.502
565000 594.503
566000 594.514
567000 594.551
568000 594.537
569000 594.534
570000 594.525
571000 594.52
572000 594.582
573000 594.589
574000 594.565
575000 594.574
576000 594.579
577000 594.553
578000 594.527
579000 594.53
580000 594.519
581000 594.517
582000 594.512
583000 594.509
584000 594.505
585000 594.475
586000 594.483
587000 594.502
588000 594.533
589000 594.539
590000 594.551
591000 594.537
592000 594.517
593000 594.523
594000 594.522
595000 594.521
596000 594.514
597000 594.505
598000 594.508
599000 594.517
600000 594.522
601000 594.526
602000 594.524
603000 594.536
604000 594.539
605000 594.537
606000 594.561
607000 594.533
608000 594.516
609000 594.495
610000 594.504
611000 594.514
612000 594.509
613000 594.494
614000 594.515
615000 594.53
616000 594.513
617000 594.529
618000 594.544
619000 594.588
620000 594.58
621000 594.576
622000 594.587
623000 594.59
624000 594.607
625000 594.615
626000 594.611
627000 594.616
628000 594.664
629000 594.653
630000 594.649
631000 594.623
632000 594.626
633000 594.634
634000 594.642
635000 594.648
636000 594.642
637000 594.645
638000 594.658
639000 594.662
640000 594.668
641000 594.66
642000 594.649
643000 594.647
644000 594.678
645000 594.627
646000 594.629
647000 594.617
648000 594.612
649000 594.627
650000 594.642
651000 594.669
652000 594.642
653000 594.639
654000 594.658
655000 594.638
656000 594.628
657000 594.635
658000 594.653
659000 594.656
660000 594.653
661000 594.635
662000 594.628
663000 594.601
664000 594.587
665000 594.61
666000 594.631
667000 594.632
668000 594.652
669000 594.664
670000 594.677
671000 594.668
672000 594.679
673000 594.683
674000 594.689
675000 594.694
676000 594.732
677000 594.744
678000 594.743
679000 594.729
680000 594.732
681000 594.72
682000 594.749
683000 594.749
684000 594.761
685000 594.758
686000 594.779
687000 594.799
688000 594.819
689000 594.81
690000 594.807
691000 594.803
692000 594.822
693000 594.816
694000 594.831
695000 594.826
696000 594.845
697000 594.822
698000 594.811
699000 594.815
700000 594.808
701000 594.839
702000 594.852
703000 594.842
704000 594.835
705000 594.844
706000 594.86
707000 594.865
708000 594.89
709000 594.884
710000 594.902
711000 594.925
712000 594.969
713000 594.974
714000 594.984
715000 594.984
716000 595.01
717000 595.023
718000 595.022
719000 595.016
720000 595.007
721000 595.012
722000 594.997
723000 595
724000 594.994
725000 594.993
726000 595.003
727000 595.016
728000 595.025
729000 595.017
730000 595.034
731000 595.041
732000 595.035
733000 595.048
734000 595.046
735000 595.046
736000 595.05
737000 595.049
738000 595.029
739000 595.035
740000 595.028
741000 594.999
742000 595.001
743000 595.005
744000 595.019
745000 595.016
746000 594.998
747000 595.008
748000 595.003
749000 595.017
750000 595.021
751000 595.021
752000 595.025
753000 595.035
754000 595.022
755000 595.04
756000 595.032
757000 595.013
758000 595.017
759000 595.02
760000 595.015
761000 595.019
762000 595.022
763000 595.006
764000 595.007
765000 595.016
766000 595.02
767000 594.998
768000 594.999
769000 594.996
770000 595.004
771000 595.003
772000 594.999
773000 595.005
774000 595.005
775000 595.027
776000 595.023
777000 595.032
778000 595.038
779000 595.055
780000 595.056
781000 595.06
782000 595.084
783000 595.089
784000 595.107
785000 595.088
786000 595.098
787000 595.091
788000 595.079
789000 595.079
790000 595.073
791000 595.075
792000 595.074
793000 595.081
794000 595.095
795000 595.094
796000 595.1
797000 595.092
798000 595.096
799000 595.069
800000 595.062
801000 595.075
802000 595.08
803000 595.085
804000 595.073
805000 595.081
806000 595.069
807000 595.069
808000 595.056
809000 595.057
810000 595.079
811000 595.064
812000 595.062
813000 595.059
814000 595.028
815000 595.03
816000 595.039
817000 595.041
818000 595.041
819000 595.039
820000 595.036
821000 595.038
822000 595.026
823000 595.038
824000 595.05
825000 595.037
826000 595.036
827000 595.012
828000 595.017
829000 595.01
830000 595.017
831000 595.025
832000 595.022
833000 595.035
834000 595.034
835000 595.023
836000 595.019
837000 595.027
838000 595.027
839000 595.021
840000 595.02
841000 595.013
842000 595.006
843000 595.008
844000 595.007
845000 595.011
846000 595.008
847000 595
848000 594.997
849000 595.003
850000 594.998
851000 595.005
852000 595.031
853000 595.024
854000 595.014
855000 595.033
856000 595.026
857000 595.02
858000 595.017
859000 595.001
860000 594.998
861000 595
862000 595.003
863000 595.01
864000 595.008
865000 595.017
866000 595.04
867000 595.048
868000 595.069
869000 595.058
870000 595.067
871000 595.07
872000 595.078
873000 595.086
874000 595.091
875000 595.114
876000 595.115
877000 595.113
878000 595.113
879000 595.094
880000 595.1
881000 595.089
882000 595.09
883000 595.092
884000 595.097
885000 595.121
886000 595.135
887000 595.127
888000 595.125
889000 595.133
890000 595.127
891000 595.138
892000 595.134
893000 595.13
894000 595.129
895000 595.138
896000 595.148
897000 595.15
898000 595.143
899000 595.126
900000 595.109
901000 595.119
902000 595.127
903000 595.134
904000 595.136
905000 595.144
906000 595.131
907000 595.138
908000 595.143
909000 595.159
910000 595.15
911000 595.151
912000 595.137
913000 595.136
914000 595.123
915000 595.131
916000 595.143
917000 595.154
918000 595.151
919000 595.161
920000 595.168
921000 595.168
922000 595.161
923000 595.16
924000 595.15
925000 595.148
926000 595.15
927000 595.159
928000 595.158
929000 595.151
930000 595.14
931000 595.146
932000 595.136
933000 595.122
934000 595.122
935000 595.121
936000 595.127
937000 595.131
938000 595.123
939000 595.126
940000 595.131
941000 595.133
942000 595.131
943000 595.136
944000 595.151
945000 595.153
946000 595.159
947000 595.143
948000 595.131
949000 595.143
