# Time-averaged data for fix pressrun
# TimeStep v_P
252000 1889.07
253000 1872.61
254000 1864.91
255000 1866.73
256000 1866.19
257000 1868.06
258000 1868.42
259000 1867.04
260000 1867.29
261000 1866.32
262000 1865.43
263000 1865.39
264000 1863.98
265000 1862.21
266000 1863.55
267000 1863.35
268000 1863.15
269000 1862.85
270000 1862.93
271000 1864.72
272000 1863.06
273000 1862.17
274000 1862.72
275000 1863.42
276000 1863.61
277000 1863.01
278000 1863.39
279000 1863.85
280000 1864.22
281000 1864.4
282000 1864.74
283000 1864.92
284000 1865.27
285000 1864.82
286000 1865.05
287000 1865.38
288000 1865.28
289000 1865.53
290000 1865.4
291000 1865.61
292000 1866.27
293000 1866.71
294000 1867.61
295000 1867.41
296000 1867.29
297000 1867.72
298000 1868.14
299000 1868.25
300000 1868.81
301000 1868.94
302000 1868.54
303000 1869
304000 1869.09
305000 1869.15
306000 1868.96
307000 1869.15
308000 1869.27
309000 1869.28
310000 1869.44
311000 1869.49
312000 1869.06
313000 1868.93
314000 1868.86
315000 1868.61
316000 1868.59
317000 1868.97
318000 1868.86
319000 1869.17
320000 1869.29
321000 1869.56
322000 1869.35
323000 1868.95
324000 1868.73
325000 1868.83
326000 1868.94
327000 1869.25
328000 1869.3
329000 1869.42
330000 1869.13
331000 1869.32
332000 1869.39
333000 1868.98
334000 1868.92
335000 1868.78
336000 1868.96
337000 1869.03
338000 1868.75
339000 1868.74
340000 1868.43
341000 1868.22
342000 1868.23
343000 1868.38
344000 1868.3
345000 1868.34
346000 1868.22
347000 1868.02
348000 1867.85
349000 1867.83
350000 1867.99
351000 1867.81
352000 1867.72
353000 1867.38
354000 1866.98
355000 1866.86
356000 1866.92
357000 1866.66
358000 1866.53
359000 1866.49
360000 1866.44
361000 1866.37
362000 1866.31
363000 1866.43
364000 1866.37
365000 1866.66
366000 1866.63
367000 1866.68
368000 1866.62
369000 1866.75
370000 1866.74
371000 1866.83
372000 1866.91
373000 1867.16
374000 1867.29
375000 1867.34
376000 1867.52
377000 1867.66
378000 1867.64
379000 1867.48
380000 1867.62
381000 1867.95
382000 1867.85
383000 1867.81
384000 1867.65
385000 1867.72
386000 1867.92
387000 1867.97
388000 1867.98
389000 1868.11
390000 1868
391000 1868.09
392000 1868.08
393000 1868.05
394000 1868.17
395000 1868.07
396000 1868.14
397000 1868.09
398000 1868.02
399000 1868
400000 1867.98
401000 1868.05
402000 1867.98
403000 1867.96
404000 1867.9
405000 1867.82
406000 1867.82
407000 1867.9
408000 1867.98
409000 1868.08
410000 1868.04
411000 1868.11
412000 1867.94
413000 1868.03
414000 1867.95
415000 1867.95
416000 1868.01
417000 1867.99
418000 1868.03
419000 1868.08
420000 1868.08
421000 1868.15
422000 1868
423000 1868.05
424000 1867.92
425000 1867.85
426000 1867.69
427000 1867.76
428000 1867.82
429000 1867.87
430000 1867.9
431000 1867.91
432000 1868.03
433000 1867.97
434000 1868.01
435000 1868.05
436000 1868.05
437000 1868.13
438000 1868.19
439000 1868.18
440000 1868.09
441000 1868.06
442000 1868.1
443000 1868.17
444000 1868.18
445000 1868.23
446000 1868.1
447000 1867.98
448000 1868.05
449000 1868
450000 1867.99
451000 1868.02
452000 1868
453000 1867.94
454000 1868
455000 1868.02
456000 1867.89
457000 1867.73
458000 1867.77
459000 1867.75
460000 1867.61
461000 1867.65
462000 1867.75
463000 1867.7
464000 1867.67
465000 1867.83
466000 1867.73
467000 1867.84
468000 1867.72
469000 1867.75
470000 1867.85
471000 1867.81
472000 1867.86
473000 1867.78
474000 1867.81
475000 1867.64
476000 1867.66
477000 1867.7
478000 1867.62
479000 1867.66
480000 1867.77
481000 1867.88
482000 1867.92
483000 1867.96
484000 1867.92
485000 1868.02
486000 1867.95
487000 1868.05
488000 1868.05
489000 1868.11
490000 1868.05
491000 1868.08
492000 1868.05
493000 1867.98
494000 1867.88
495000 1867.84
496000 1867.91
497000 1867.78
498000 1867.79
499000 1867.75
500000 1867.75
501000 1867.75
502000 1867.73
