# Time-averaged data for fix pressrun
# TimeStep v_P
202000 217.312
203000 230.316
204000 239.435
205000 238.899
206000 235.426
207000 241.59
208000 236.346
209000 236.631
210000 236.595
211000 235.252
212000 237.225
213000 239.692
214000 240.8
215000 241.651
216000 242.601
217000 243.076
218000 243.726
219000 242.653
220000 244.427
221000 244.45
222000 244.209
223000 243.872
224000 244.351
225000 244.527
226000 244.632
227000 244.467
228000 244.399
229000 241.824
230000 242.057
231000 241.969
232000 241.783
233000 242.055
234000 242.577
235000 242.271
236000 241.897
237000 240.901
238000 241.355
239000 241.101
240000 240.863
241000 241.005
242000 240.166
243000 240.165
244000 240.342
245000 240.567
246000 240.557
247000 240.874
248000 240.773
249000 240.376
250000 240.653
251000 240.525
252000 239.883
253000 239.326
254000 239.248
255000 239.295
256000 238.876
257000 238.516
258000 238.918
259000 238.549
260000 238.194
261000 238.779
262000 238.739
263000 238.907
264000 238.961
265000 238.731
266000 238.9
267000 239.171
268000 239.527
269000 238.881
270000 238.702
271000 238.393
272000 238.072
273000 237.989
274000 238.128
275000 238.255
276000 238.074
277000 237.861
278000 237.854
279000 237.826
280000 237.704
281000 237.669
282000 237.779
283000 237.957
284000 237.412
285000 237.575
286000 237.219
287000 237.019
288000 237.02
289000 237.248
290000 237.295
291000 237.542
292000 237.613
293000 237.405
294000 237.883
295000 238.198
296000 238.226
297000 238.438
298000 238.282
299000 238.412
300000 238.325
301000 238.264
302000 238.396
303000 238.388
304000 238.596
305000 238.854
306000 238.721
307000 238.663
308000 238.53
309000 238.487
310000 238.724
311000 238.557
312000 238.239
313000 238.213
314000 238.004
315000 238.299
316000 238.468
317000 238.693
318000 238.57
319000 238.755
320000 238.562
321000 238.548
322000 238.605
323000 238.529
324000 238.684
325000 238.703
326000 238.503
327000 238.418
328000 238.213
329000 237.996
330000 238.001
331000 238.321
332000 238.575
333000 238.842
334000 238.794
335000 238.551
336000 238.478
337000 238.316
338000 238.012
339000 238.306
340000 238.203
341000 238.142
342000 238.033
343000 238.146
344000 238.391
345000 238.471
346000 238.376
347000 238.454
348000 238.546
349000 238.429
350000 238.408
351000 238.335
352000 238.284
353000 238.23
354000 238.208
355000 238.377
356000 238.385
357000 238.333
358000 238.586
359000 238.318
360000 238.029
361000 237.894
362000 237.831
363000 237.818
364000 237.878
365000 237.967
366000 237.846
367000 237.857
368000 237.835
369000 237.862
370000 237.799
371000 237.822
372000 237.767
373000 237.778
374000 237.923
375000 237.938
376000 237.928
377000 238.022
378000 238.018
379000 237.935
380000 237.734
381000 237.639
382000 237.762
383000 237.576
384000 237.567
385000 237.586
386000 237.582
387000 237.451
388000 237.361
389000 237.211
390000 237.201
391000 237.387
392000 237.444
393000 237.47
394000 237.578
395000 237.631
396000 237.488
397000 237.529
398000 237.731
399000 237.724
400000 237.685
401000 237.474
402000 237.349
403000 237.132
404000 237.043
405000 237.018
406000 236.939
407000 236.908
408000 237.108
409000 237.142
410000 237.306
411000 237.27
412000 237.184
413000 237.184
414000 237.246
415000 237.245
416000 237.258
417000 237.063
418000 236.994
419000 237.093
420000 236.973
421000 236.992
422000 236.774
423000 236.555
424000 236.499
425000 236.439
426000 236.504
427000 236.388
428000 236.295
429000 236.386
430000 236.385
431000 236.41
432000 236.363
433000 236.359
434000 236.235
435000 236.287
436000 236.201
437000 236.269
438000 236.339
439000 236.454
440000 236.335
441000 236.256
442000 236.158
443000 236.056
444000 236.025
445000 235.931
446000 235.834
447000 235.68
448000 235.721
449000 235.852
450000 235.887
451000 235.901
452000 235.763
453000 235.886
454000 235.901
455000 235.909
456000 235.913
457000 235.823
458000 235.764
459000 235.775
460000 235.894
461000 235.833
462000 235.934
463000 235.881
464000 235.919
465000 236.015
466000 235.984
467000 236.077
468000 236.098
469000 236.004
470000 235.991
471000 236.003
472000 235.977
473000 235.946
474000 235.88
475000 235.879
476000 235.833
477000 235.879
478000 235.846
479000 235.892
480000 235.961
481000 235.921
482000 236.029
483000 236.062
484000 235.999
485000 235.907
486000 235.881
487000 235.94
488000 235.95
489000 235.998
490000 236.017
491000 236.051
492000 236.04
493000 236.047
494000 236.071
495000 235.94
496000 235.861
497000 235.911
498000 235.934
499000 235.902
500000 235.931
501000 235.878
502000 235.855
503000 235.728
504000 235.762
505000 235.698
506000 235.654
507000 235.551
508000 235.722
509000 235.726
510000 235.773
511000 235.744
512000 235.746
513000 235.732
514000 235.762
515000 235.815
516000 235.849
517000 235.898
518000 235.865
519000 235.918
