# Time-averaged data for fix pressrun
# TimeStep v_P
202000 424.29
203000 429.937
204000 430.98
205000 429.009
206000 429.61
207000 430.313
208000 430.884
209000 430.698
210000 430.179
211000 429.817
212000 429.901
213000 430.364
214000 430.549
215000 430.22
216000 430.344
217000 430.33
218000 430.475
219000 430.491
220000 430.223
221000 430.333
222000 430.001
223000 430.057
224000 430.018
225000 430.098
226000 430.076
227000 430.058
228000 430.134
229000 430.197
230000 430.459
231000 430.588
232000 430.442
233000 430.249
234000 430.266
235000 430.292
236000 430.072
237000 429.963
238000 429.84
239000 429.957
240000 429.89
241000 429.956
242000 429.867
243000 429.704
244000 429.708
245000 429.773
246000 429.625
247000 429.719
248000 429.617
249000 429.399
250000 429.462
251000 429.443
252000 429.486
253000 429.577
254000 429.638
255000 429.606
256000 429.573
257000 429.503
258000 429.536
259000 429.371
260000 429.506
261000 429.489
262000 429.467
263000 429.398
264000 429.405
265000 429.475
266000 429.482
267000 429.489
268000 429.524
269000 429.578
270000 429.655
271000 429.753
272000 429.729
273000 429.723
274000 429.769
275000 429.687
276000 429.646
277000 429.594
278000 429.57
279000 429.563
280000 429.459
281000 429.516
282000 429.494
283000 429.441
284000 429.412
285000 429.432
286000 429.441
287000 429.404
288000 429.402
289000 429.461
290000 429.487
291000 429.442
292000 429.488
293000 429.51
294000 429.449
295000 429.489
296000 429.47
297000 429.468
298000 429.45
299000 429.53
300000 429.541
301000 429.595
302000 429.642
303000 429.588
304000 429.648
305000 429.663
306000 429.672
307000 429.637
308000 429.675
309000 429.717
310000 429.706
311000 429.686
312000 429.742
313000 429.744
314000 429.695
315000 429.763
316000 429.792
317000 429.777
318000 429.809
319000 429.843
320000 429.85
321000 429.793
322000 429.794
323000 429.732
324000 429.749
325000 429.75
326000 429.802
327000 429.774
328000 429.812
329000 429.811
330000 429.859
331000 429.898
332000 429.963
333000 430
334000 430.029
335000 430.066
336000 430.035
337000 430.011
338000 430.065
339000 430.082
340000 430.038
341000 429.977
342000 429.968
343000 429.971
344000 429.995
345000 430.017
346000 430.022
347000 429.961
348000 429.992
349000 430.002
350000 429.999
351000 429.994
352000 430.035
353000 429.997
354000 430.055
355000 430.034
356000 430.036
357000 430.01
358000 429.984
359000 429.998
360000 429.983
361000 430.01
362000 430.017
363000 430.038
364000 430.035
365000 430.063
366000 430.078
367000 430.061
368000 430.111
369000 430.105
370000 430.128
371000 430.075
372000 430.062
373000 430.046
374000 430.038
375000 430.04
376000 430.015
377000 430.04
378000 430.043
379000 430.044
380000 430.042
381000 430.022
382000 430.048
383000 430.041
384000 430.028
385000 430.014
386000 430.029
387000 429.999
388000 430.05
389000 430.015
390000 430.026
391000 430.042
392000 430.059
393000 430.061
394000 430.073
